b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
517	732	92	143	1308	1512	239	287	215	124
1104	1326	226	258	1321	1541	268	300	216	122
1321	0	268	0	1493	186	300	34	216	123
0	186	0	34	1418	1600	263	300	217	123
1418	0	263	0	1594	185	300	38	217	124
334	275	66	47	908	935	176	173	218	121
0	185	0	38	247	428	49	86	218	124
833	1065	161	212	1063	1294	207	257	218	127
559	379	118	72	945	1213	197	243	219	98
970	27	202	7	1457	520	299	107	219	115
1017	0	212	0	1457	430	299	86	219	120
334	661	74	124	925	883	190	170	220	141
590	147	128	30	792	348	164	65	220	142
382	0	66	0	556	173	97	31	502	114
