b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
141	25	28	5	801	719	167	149	15	1955
1253	790	236	150	1569	1099	299	212	25	9
573	314	114	61	1044	752	220	156	67	188
26	752	6	143	1007	1569	212	300	88	2060
1007	1	212	0	1252	235	259	43	88	2061
440	294	87	57	891	829	177	164	95	127
33	700	7	143	223	914	47	186	110	1019
33	993	7	202	212	1195	45	245	110	1131
46	771	10	148	223	968	47	190	110	3340
880	1065	168	204	1140	1332	223	258	145	478
405	1419	81	265	566	1612	109	300	146	1416
1071	1155	209	245	1251	1315	246	278	174	2991
396	530	75	106	1052	1121	200	216	225	2423
16	96	3	19	353	424	71	87	240	669
1	710	0	138	231	922	49	182	249	2134
935	520	196	109	1110	662	234	141	251	2250
312	1002	67	207	862	1227	179	252	252	2247
100	174	19	34	709	978	139	189	253	2258
245	655	51	131	406	822	87	167	256	447
953	1179	195	241	1190	1405	243	289	259	2266
158	25	32	5	345	250	69	51	262	2189
303	772	66	147	711	1209	145	230	267	2013
1030	213	210	44	1250	450	264	95	271	2003
1	757	0	148	361	1109	70	214	274	2029
172	290	37	55	650	917	135	179	294	2117
408	665	87	133	654	889	141	183	296	2075
198	577	47	123	513	915	113	192	312	1941
656	1250	136	245	1327	1513	266	298	316	358
344	5	73	1	1241	576	252	118	326	2581
1	743	0	145	314	1090	66	218	327	2580
306	605	64	111	757	1006	152	193	359	2562
273	862	61	163	651	1238	144	243	412	1169
272	401	59	77	1080	1115	212	221	414	3423
939	1	185	0	1512	532	300	104	432	3876
5	532	1	104	321	846	60	165	433	3876
547	1	104	0	856	269	162	51	433	3887
179	803	38	156	521	1143	111	230	487	2614
129	649	26	124	402	954	82	187	492	1536
404	973	81	196	675	1158	134	233	493	295
815	882	159	176	974	1057	190	209	497	2756
714	395	142	77	1183	726	237	143	505	2093
610	392	126	77	1409	1366	285	267	509	3739
789	1332	163	259	994	1526	208	300	510	3739
1	454	0	89	354	793	72	159	510	3741
1	308	0	68	570	813	119	175	511	3740
891	1170	181	225	1095	1382	222	267	573	3754
903	592	181	118	1273	1032	259	209	588	1529
561	401	114	74	836	672	167	127	603	874
627	1258	120	253	828	1488	161	300	608	1352
54	556	10	107	254	764	53	151	624	1205
683	1077	140	203	1227	1525	260	295	634	3672
35	1	7	0	379	402	76	81	654	2705
1225	73	254	14	1436	290	299	59	654	2708
680	348	142	65	1194	915	240	176	695	350
29	92	6	19	445	576	93	120	707	878
906	113	185	23	1055	258	218	55	712	378
846	1334	171	261	1021	1492	205	294	713	378
112	1314	20	251	358	1515	62	286	735	304
660	715	133	136	929	980	186	190	755	2411
893	514	183	109	1089	736	221	153	766	4250
1195	43	240	9	1432	380	288	79	768	120
1151	905	231	183	1432	1262	288	257	768	137
318	674	62	138	617	959	124	198	775	2971
179	1031	34	214	598	1459	118	300	799	1390
144	498	28	104	744	1023	148	208	828	657
443	421	93	78	783	785	153	144	847	1778
131	469	23	97	641	991	115	193	887	298
995	953	187	185	1257	1195	235	229	887	3778
126	1	24	0	352	219	66	40	888	1876
232	277	43	59	562	642	109	131	903	2025
232	710	43	143	562	1090	109	218	903	2026
296	661	57	127	966	1263	188	249	904	470
97	1102	17	215	284	1336	56	263	930	1142
717	318	134	59	1033	645	195	120	982	1730
1	983	0	200	476	1505	90	300	983	1727
476	1	90	0	714	253	138	50	983	1728
881	343	178	68	1382	765	285	157	985	1179
7	396	1	79	368	814	70	162	993	1180
464	1315	91	246	1125	1599	221	300	994	2131
753	6	146	1	1506	803	300	163	997	4045
671	34	136	7	1426	547	297	112	998	4046
1	192	0	38	151	338	30	66	1034	2798
990	191	194	41	1239	366	245	77	1068	2650
740	208	145	40	1083	563	214	112	1168	749
