b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
155	1134	37	206	452	1422	100	266	517	328
0	121	0	26	299	357	62	74	651	1927
591	352	126	72	1248	1185	274	242	179	3479
867	37	183	8	1305	512	278	108	480	3480
379	66	87	13	740	576	167	126	442	3563
714	1061	147	213	846	1201	176	243	465	3881
257	0	59	0	478	239	104	48	581	4926
240	53	50	10	530	297	114	61	482	4928
607	498	132	98	752	674	163	135	595	4928
488	1064	108	215	834	1369	177	276	530	4961
93	562	21	110	317	830	70	168	483	5251
114	270	24	50	431	517	88	102	484	5255
65	270	15	55	229	576	50	121	596	6227
627	18	125	4	1495	698	298	137	90	6328
1326	687	268	131	1487	865	300	165	641	6459
19	168	5	31	480	445	99	86	490	6922
780	770	161	157	1305	1316	273	271	489	6939
312	1185	72	232	564	1430	121	280	486	7166
430	938	89	178	728	1167	150	223	651	7288
780	1069	171	209	917	1252	198	246	690	7331
767	9	160	2	1135	293	235	61	188	7780
517	740	108	141	1257	1514	259	296	84	7876
954	149	199	30	1314	445	275	92	136	7877
1030	0	208	0	1486	435	300	91	135	7901
0	435	0	91	482	919	100	189	136	7901
725	718	161	142	1149	935	250	188	97	8027
94	718	16	142	300	935	59	188	98	8027
