b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
984	938	197	158	1259	1233	252	214	2	50
324	294	59	58	656	539	123	105	2725	72
302	293	55	55	826	553	152	101	2739	73
279	0	56	0	744	478	146	88	2565	143
998	1324	194	248	1292	1606	249	300	2876	405
1292	0	249	0	1575	694	300	136	2876	406
0	694	0	136	444	1090	82	210	2877	406
1057	0	200	0	1584	457	300	84	2877	407
0	457	0	84	141	588	26	108	2878	407
0	980	0	198	724	1495	142	299	2881	436
751	7	147	1	1112	319	219	62	2881	437
1179	1065	232	213	1524	1419	300	282	2908	612
285	779	57	147	604	1040	120	198	2951	619
996	144	206	25	1189	296	246	54	737	745
1003	144	203	25	1160	296	235	54	1177	745
157	1267	31	239	323	1418	67	272	2525	1126
1179	1344	231	258	1400	1547	273	296	2748	1225
673	250	128	47	1468	1053	297	212	2750	1230
476	295	95	57	852	627	174	129	2751	1231
1082	1193	225	249	1436	1444	300	300	2751	1231
5	798	1	164	345	1165	73	243	2753	1231
97	377	19	67	509	756	103	144	169	1299
898	1048	177	207	1411	1423	270	273	1818	1368
611	35	131	7	1036	429	225	90	394	1369
324	60	61	11	713	517	135	99	2915	1382
733	247	141	49	1095	550	208	104	2914	1383
699	1145	136	231	996	1402	195	282	262	1389
503	276	103	57	684	484	137	97	265	1390
438	852	88	168	994	1525	193	300	2531	1443
994	0	193	0	1503	244	300	54	2531	1444
90	986	18	180	567	1404	114	260	368	1575
589	186	118	38	1560	1419	300	271	368	1576
238	130	47	28	1091	1452	219	300	369	1577
1014	1081	193	214	1418	1537	266	300	412	1581
466	764	91	148	657	1057	128	209	412	1581
1418	0	266	0	1605	185	300	34	412	1582
0	185	0	34	1393	1530	282	300	413	1582
0	101	0	18	1269	1529	252	299	414	1583
1251	15	248	3	1535	309	300	57	414	1584
0	309	0	57	1317	1644	244	299	415	1584
1323	0	245	0	1601	299	300	59	415	1585
60	310	13	62	1248	1567	240	300	416	1585
1248	0	240	0	1549	251	300	48	416	1586
7	257	1	49	1093	1417	215	276	417	1586
1071	1206	210	237	1263	1547	248	300	2732	1597
559	830	113	158	930	1337	191	263	2741	1608
881	99	184	21	1135	387	234	77	1848	1612
610	0	112	0	1091	451	204	87	2954	1645
269	907	49	188	798	1487	153	300	2121	1650
1130	1097	226	216	1402	1473	283	293	263	1793
1271	895	256	176	1462	1128	300	228	161	1794
1346	1007	255	192	1564	1237	300	241	1735	1846
124	226	24	41	748	842	144	156	1736	1847
204	1127	44	201	619	1567	135	297	1944	1988
1160	694	230	130	1422	1062	285	204	417	2015
128	682	29	128	531	1025	110	196	418	2015
822	689	169	127	968	843	199	159	2741	2087
411	801	85	142	1008	1072	204	193	2604	2134
68	93	15	14	343	367	67	62	2671	2178
696	1037	141	193	1229	1573	249	297	2687	2235
896	1246	188	237	1142	1437	238	275	2688	2237
9	478	2	83	1193	1648	234	300	2563	2310
