b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
1079	377	205	76	1280	578	240	112	14	107
1036	915	205	175	1237	1092	242	209	50	110
1055	944	208	194	1261	1130	247	230	50	330
832	966	171	179	1110	1139	225	211	69	128
70	1148	15	231	315	1359	63	271	165	199
450	1184	90	244	605	1389	121	286	258	103
315	519	62	96	678	928	134	175	287	78
1016	883	202	167	1174	1101	231	207	288	97
1228	13	231	2	1448	188	275	38	308	56
567	1305	114	265	1102	1476	217	300	336	104
1186	523	210	103	1570	949	286	190	339	105
938	1367	176	277	1083	1490	202	299	341	177
1083	0	202	0	1566	419	294	74	341	178
10	1174	1	224	180	1333	32	253	354	110
495	959	89	191	987	1197	181	242	399	94
