b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
573	781	120	168	728	937	154	202	2	1563
603	1	128	0	721	121	153	25	2	3529
635	559	128	121	1214	1273	248	269	10	1649
684	220	138	46	1220	849	249	176	10	3063
376	693	74	155	984	1386	201	300	10	3223
984	1	201	0	1209	243	247	48	10	3224
360	238	70	48	1209	1198	247	246	10	4843
915	860	189	179	1502	1392	300	278	11	5709
915	54	189	12	1502	562	300	107	11	5728
493	10	102	2	749	238	152	47	14	2463
864	931	175	197	1256	1347	249	276	29	1659
856	1238	174	262	1049	1442	208	299	29	2721
875	980	177	205	1256	1341	249	272	29	3296
827	591	168	118	1256	1082	249	209	29	6909
354	1059	65	220	559	1285	107	264	31	446
57	1216	11	255	260	1439	52	297	38	3185
329	870	59	178	476	1012	90	208	55	4863
782	723	156	154	1098	1029	224	219	65	4829
246	540	51	111	398	688	84	142	68	1541
246	128	51	27	398	281	84	60	68	1557
228	1	51	0	453	224	98	46	78	3619
256	1164	47	244	536	1421	103	296	87	2878
665	1	131	0	946	287	191	60	93	1229
386	1071	79	221	547	1257	109	256	98	1029
201	870	33	178	348	1012	64	208	130	4863
645	723	130	154	961	1029	198	219	140	4829
121	540	25	111	273	688	58	142	143	1541
121	128	25	27	273	281	58	60	143	1557
110	1	25	0	335	224	72	46	153	3619
118	1164	21	244	398	1421	77	296	162	2878
525	1	105	0	806	287	165	60	168	1229
258	1071	53	221	419	1257	83	256	173	1029
