b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
721	1	151	0	1143	441	234	84	29	40
516	204	106	42	1321	1029	269	216	29	1066
744	1203	155	229	885	1371	186	265	34	827
771	236	162	50	951	467	201	99	34	828
69	422	15	87	330	774	67	161	34	1379
936	495	194	104	1341	947	275	195	36	377
1078	777	217	164	1293	962	257	197	43	246
254	6	54	1	768	566	159	114	44	356
842	1	176	0	1041	202	217	41	52	1083
186	355	40	76	965	1061	199	222	54	1066
699	929	145	190	1228	1417	259	297	58	578
186	241	41	50	370	451	79	93	62	505
610	1	123	0	1036	434	210	85	89	1361
724	413	155	86	875	562	186	117	150	195
