b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
1100	913	200	176	1575	1411	295	273	1	1642
374	65	73	13	644	329	125	63	4	2029
5	874	1	193	403	1276	83	277	5	364
1092	1058	213	212	1460	1466	291	300	9	1547
1214	1163	244	244	1469	1423	298	300	10	1517
552	142	108	30	892	491	182	104	10	2166
475	177	90	35	1109	763	221	157	11	1416
533	624	101	131	1109	1169	221	245	11	1417
4	1339	1	267	186	1496	37	298	11	1945
354	5	74	1	701	386	145	79	13	1711
633	0	134	0	1252	655	251	125	18	1046
51	1068	10	219	355	1366	71	282	20	1985
