b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
376	1019	77	179	1079	1309	222	242	789	40
940	537	186	95	1270	803	252	147	750	49
19	1246	4	224	385	1617	79	300	751	49
385	1	79	0	1176	681	240	135	751	50
245	795	54	155	698	1108	143	216	752	50
1007	82	208	18	1268	442	264	92	752	52
1301	911	252	176	1525	1136	300	223	761	53
339	670	68	127	558	901	112	174	766	53
644	1129	133	204	1086	1611	223	300	759	54
1086	1	223	0	1456	244	300	48	759	55
526	12	104	2	1156	737	236	149	760	57
1108	1031	226	194	1454	1298	300	249	756	58
642	373	120	68	1261	901	245	174	761	58
52	583	10	110	260	852	54	164	788	58
1409	1	265	0	1580	169	300	35	764	60
1	169	0	35	118	286	23	58	765	60
671	198	139	37	1104	477	229	95	765	61
489	55	101	10	827	425	164	79	763	62
837	796	173	147	1395	1510	283	281	766	63
782	584	144	107	1459	1386	286	265	767	64
176	331	38	67	366	533	76	107	768	65
610	954	124	172	1012	1608	206	300	769	66
1012	1	206	0	1472	576	300	113	769	67
1	576	0	113	218	793	44	157	770	67
404	1	79	0	834	346	167	69	775	69
578	271	111	53	865	557	175	116	786	69
1311	901	272	177	1454	1043	300	204	789	69
830	24	170	5	1448	440	297	91	796	73
517	624	106	130	1471	1007	300	206	797	73
1	1007	0	206	535	1432	108	295	798	73
660	79	133	14	1507	868	300	161	798	74
1	868	0	161	728	1526	151	300	799	74
790	196	157	36	1466	965	300	194	775	77
831	1255	168	248	1030	1506	209	300	776	77
1030	1	209	0	1432	501	300	112	776	78
1	501	0	112	775	905	165	199	777	78
993	131	190	25	1468	492	285	95	780	79
640	780	133	154	1217	1480	257	299	781	79
695	858	131	151	1030	1179	199	215	770	83
1072	653	218	129	1345	935	274	188	773	85
1020	1380	195	258	1232	1518	238	287	772	86
360	589	70	114	499	703	101	138	779	87
47	409	10	82	345	731	71	149	778	88
168	1101	28	203	360	1303	70	247	779	90
84	1116	19	216	483	1529	99	300	792	97
483	1	99	0	675	193	138	39	792	98
892	1010	184	201	1347	1500	280	300	793	98
535	576	101	103	735	787	144	145	833	104
324	160	62	33	682	555	136	115	847	109
1	112	0	23	188	285	34	54	862	115
869	1229	177	231	1054	1554	213	295	873	119
106	893	23	172	388	1228	79	237	869	120
481	626	89	120	1252	1480	243	291	891	125
774	1037	161	206	1447	1498	294	292	900	126
19	508	4	100	394	1021	80	202	900	126
77	1268	14	253	290	1471	59	294	896	132
881	70	189	13	1387	289	297	56	915	132
1046	194	201	37	1353	452	263	88	895	133
1288	591	260	118	1480	791	300	160	908	133
29	196	5	39	209	375	42	76	871	134
240	1019	46	203	463	1217	94	246	904	134
1068	515	210	104	1258	707	252	145	898	136
441	255	83	48	612	423	120	84	898	136
275	361	57	71	504	581	108	119	892	140
31	524	6	112	617	1123	132	238	1400	141
11	156	2	31	651	641	134	135	918	143
312	1204	57	233	717	1546	137	300	1054	145
717	1	137	0	1452	290	279	56	1054	146
1376	1359	254	274	1499	1470	279	298	831	148
847	218	169	39	1241	635	245	119	931	180
76	643	14	128	624	805	118	160	925	183
1218	762	235	151	1520	907	297	180	925	183
1292	1	255	0	1503	308	300	66	929	185
1093	651	208	122	1252	799	237	149	944	191
715	250	139	48	1017	576	197	112	961	197
1	1379	0	266	318	1545	67	300	985	199
1	1236	0	234	223	1466	41	277	862	201
920	794	176	146	1523	1159	296	218	989	202
946	6	177	1	1485	660	278	124	988	206
681	1020	125	194	958	1290	184	249	989	206
312	234	61	44	1422	1475	291	294	990	210
77	424	14	79	691	1404	137	272	991	211
1064	16	208	3	1510	398	299	79	1002	213
5	246	1	52	1397	1551	273	300	1003	213
1	78	0	16	662	735	122	140	1004	214
7	1318	1	249	348	1567	66	298	1013	217
389	356	72	73	1551	892	298	180	1012	218
1192	1219	247	236	1428	1440	297	282	1022	220
1009	196	215	34	1423	589	300	113	1020	222
405	1	79	0	693	172	135	32	1038	224
912	286	177	55	1375	651	268	126	1040	224
62	536	14	104	550	812	116	163	1048	226
972	1186	206	234	1162	1359	249	272	966	229
479	656	101	129	1049	1042	224	210	966	230
1	1006	0	202	213	1314	42	263	967	230
1173	1189	226	225	1390	1431	268	272	1060	233
436	1441	85	274	572	1570	113	300	1061	233
572	1	113	0	824	225	166	43	1061	234
1033	101	202	17	1368	653	275	127	1066	235
194	924	41	186	795	1476	172	300	1072	238
1	1060	0	215	275	1292	58	263	1073	238
795	1	172	0	1366	442	287	89	1072	239
559	604	114	124	1449	1275	289	256	1074	240
338	784	62	143	619	1050	117	194	1064	243
319	981	63	194	527	1201	107	240	1123	250
1122	394	221	77	1524	654	300	130	1121	254
270	348	51	70	1358	919	273	181	1134	255
1095	1047	224	200	1478	1347	300	260	1137	257
1	1347	0	260	213	1554	42	300	1138	257
213	1	42	0	1308	721	273	145	1138	258
1234	1113	235	203	1539	1369	294	252	1156	262
1070	338	203	67	1234	500	235	98	1156	262
667	1341	132	257	1161	1540	232	294	1158	263
216	1365	43	264	367	1503	71	290	1190	267
970	623	202	120	1268	986	267	196	1186	268
139	559	31	116	401	966	88	199	1187	269
174	229	35	45	882	870	177	169	1192	270
244	438	54	90	940	1445	204	291	1193	271
940	107	204	24	1369	639	293	131	1193	272
8	602	1	124	374	1020	76	206	1194	272
445	261	89	50	926	659	191	134	1194	273
1036	1	210	0	1446	512	296	103	1200	275
647	1042	130	207	1127	1483	229	297	1211	277
1159	30	218	6	1318	178	249	34	1228	280
1351	838	256	156	1570	1037	300	196	1228	280
994	581	204	115	1348	895	273	176	1230	282
875	524	167	93	1397	1047	267	188	1239	288
1051	416	209	79	1273	577	257	115	1256	293
350	752	75	147	579	985	120	192	1257	293
1097	980	215	182	1529	1356	296	248	1259	294
330	311	68	57	1215	1034	231	184	1266	298
1158	1404	237	256	1298	1556	265	286	1232	299
792	358	158	63	1035	584	204	106	1296	306
30	79	7	15	240	290	51	60	1320	310
827	1025	157	194	1514	1596	297	300	1360	319
83	189	16	35	737	852	154	171	1361	320
1090	685	229	135	1445	1048	300	208	1367	322
1	1048	0	208	118	1183	24	236	1368	322
