b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
1114	873	226	182	1234	1119	251	228	32	15
817	800	147	161	1145	1127	210	224	59	18
1216	641	233	128	1405	818	272	165	1528	34
502	907	105	190	702	1116	151	237	87	122
32	1	6	0	428	416	91	91	87	123
720	1097	154	236	1113	1379	241	297	87	124
355	857	69	174	554	1058	110	216	139	157
1336	1013	263	197	1515	1172	298	229	139	160
519	538	98	109	794	798	150	160	140	164
841	52	162	11	980	187	191	40	186	221
186	1105	35	227	429	1393	81	284	189	228
36	541	6	105	538	1001	107	197	273	303
647	918	127	190	1198	1416	240	291	275	306
1153	1453	236	268	1315	1600	271	299	759	406
558	1	111	0	777	241	156	50	212	493
720	183	154	37	1222	438	262	94	87	524
961	1127	187	226	1413	1481	278	298	509	545
901	519	176	103	1508	936	298	185	509	546
61	1258	13	251	417	1495	88	300	349	548
417	1	88	0	1090	573	219	114	349	549
768	349	147	73	1143	1096	219	218	351	552
945	1287	187	260	1086	1480	216	300	358	561
547	405	105	83	747	704	146	146	610	594
82	675	17	132	511	1002	99	197	13	618
1449	1110	277	223	1569	1237	300	248	388	697
1	1237	0	248	289	1517	55	300	389	697
279	235	50	48	611	787	117	157	391	697
289	1	55	0	1433	1127	300	241	389	698
1	1127	0	241	271	1398	59	300	390	698
271	1	59	0	638	374	134	77	390	699
651	290	125	59	901	606	172	121	391	699
869	977	162	181	1104	1266	211	244	10	730
1124	1144	230	238	1401	1414	293	300	50	747
650	210	124	44	1311	1297	257	263	51	748
1	47	0	11	162	210	32	44	51	748
8	1297	1	263	190	1482	37	300	52	748
190	1	37	0	1532	1377	300	270	52	749
5	1381	1	271	151	1527	30	300	53	749
193	754	38	145	935	1566	179	300	53	750
935	1	179	0	1588	661	300	122	53	751
1	661	0	122	228	961	46	184	54	751
1020	641	193	123	1552	1197	300	234	391	754
1	1197	0	234	182	1385	39	274	392	754
144	48	32	8	1454	1329	287	256	392	755
1	243	0	50	930	1458	188	300	379	757
37	664	7	133	1116	1438	228	296	380	758
1	674	0	146	727	1428	149	300	381	759
727	1	149	0	977	215	201	45	381	760
38	178	7	38	419	567	81	114	382	760
923	567	180	114	1525	1160	300	232	382	760
1	1160	0	232	649	1418	123	280	383	760
1006	1	193	0	1524	353	295	71	383	761
137	353	26	71	731	693	141	139	384	761
1318	5	257	1	1523	176	300	37	386	765
1	176	0	37	325	683	68	152	387	765
484	1	99	0	1474	1004	300	204	387	766
1	1004	0	204	492	1502	94	300	388	766
492	1	94	0	739	217	140	41	388	767
735	632	139	118	1326	1150	253	220	388	768
617	1121	125	214	1023	1526	210	300	1098	768
103	1288	21	241	344	1604	68	300	220	775
344	1	68	0	485	146	95	28	220	776
558	1	115	0	1058	781	212	150	307	777
1267	1	238	0	1598	332	300	63	197	778
88	389	17	74	851	1415	158	264	1224	778
701	450	135	91	1073	802	207	159	300	796
1130	440	217	87	1494	754	293	152	308	802
1	758	0	153	273	1207	54	245	309	802
163	768	32	153	420	966	86	194	315	806
1	857	0	182	362	1211	72	253	402	808
73	1024	13	220	195	1162	38	248	565	847
558	927	109	173	1296	1514	262	300	359	853
1296	1	262	0	1441	145	291	29	359	854
112	95	22	20	1491	1267	300	253	360	854
1	1267	0	253	303	1513	58	300	361	854
