b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
811	897	159	172	1283	1335	251	262	69	1010
182	1283	35	243	441	1548	89	299	98	1752
384	843	74	170	943	1310	189	267	100	1480
455	294	88	60	943	664	189	137	100	1485
455	1156	88	240	916	1439	184	299	100	1579
455	1139	88	219	959	1456	192	284	100	1599
455	427	88	94	943	821	189	176	100	1747
141	1	27	0	408	280	83	59	102	1582
1	728	0	146	429	1295	87	260	102	1820
1	1198	0	224	272	1569	56	299	102	1832
1	248	0	49	429	869	87	177	102	1836
1	966	0	188	424	1505	86	300	102	1837
1	1054	0	198	421	1547	85	300	102	1944
1363	790	265	170	1459	885	286	191	132	1090
225	82	46	17	659	512	132	101	135	3807
774	1285	157	259	1065	1500	213	300	150	2220
1274	54	253	9	1511	236	300	46	150	2221
774	18	157	4	1511	488	300	95	150	2354
667	527	134	103	1439	1302	291	259	177	4037
131	115	25	22	730	648	147	130	177	4038
131	953	25	185	775	1520	156	300	177	4354
775	1	156	0	1479	649	300	132	177	4355
261	418	46	86	679	815	129	167	178	4356
730	13	139	3	941	224	180	44	178	4359
881	11	167	2	1433	454	276	91	286	4175
785	979	147	194	1197	1486	229	297	286	4176
818	124	154	24	1262	567	242	112	286	4177
785	860	147	180	1262	1416	242	293	286	4178
818	23	154	4	1257	368	241	74	286	4179
1	880	0	170	547	1323	108	260	331	3932
1	604	0	114	740	1536	148	300	331	3933
36	121	7	24	700	896	141	181	331	3934
7	1	1	0	669	581	135	119	331	4054
779	1203	146	245	1443	1486	268	300	333	4419
1443	1	268	0	1599	169	300	35	333	4420
37	953	7	197	426	1464	83	298	334	4412
135	1032	27	201	358	1368	70	267	334	4416
1	169	0	35	549	702	106	140	334	4420
