b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
1080	1206	223	217	1449	1565	297	288	3	372
1	28	0	6	1475	1399	300	278	4	373
750	1	159	0	1433	370	300	73	344	71
651	597	136	117	1432	1070	299	213	774	33
26	1063	6	212	747	1436	153	283	775	33
427	1403	87	271	575	1532	117	298	1271	73
701	797	134	150	1273	1534	252	300	1272	74
1159	1	227	0	1470	252	294	55	1272	75
30	900	6	188	641	1434	132	300	1273	75
888	236	175	48	1475	870	300	180	1293	37
7	870	1	180	549	1425	120	300	1294	37
549	1	120	0	827	402	173	76	1294	38
878	584	174	120	1263	973	248	196	1335	93
11	986	2	198	449	1501	90	300	1336	93
493	417	98	84	1330	1351	275	275	1336	94
1	193	0	39	506	1041	109	216	1337	95
1004	974	208	189	1419	1465	297	288	1337	96
501	1	108	0	1053	464	217	93	1337	96
56	969	12	199	584	1437	123	300	1338	95
