b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
799	1299	147	249	955	1454	180	282	422	219
74	406	16	82	430	748	86	148	531	288
444	758	91	148	1330	1505	269	299	770	117
1336	5	270	1	1492	166	300	33	770	118
0	369	0	73	635	918	131	185	770	121
1130	331	214	63	1386	609	266	119	888	152
1144	216	217	40	1386	687	266	132	888	238
0	1069	0	209	705	1548	134	300	908	168
711	349	139	68	1406	940	277	188	1102	177
60	927	12	185	831	1466	159	289	1103	177
580	1176	117	222	829	1390	169	267	1381	247
651	717	129	138	900	956	175	181	1396	307
763	911	155	181	873	1021	178	204	1604	214
1012	291	204	59	1479	744	300	153	1604	318
0	744	0	153	309	1015	66	212	1605	318
1337	0	270	0	1490	153	299	29	1606	126
27	153	6	29	629	681	126	134	1607	126
1101	375	221	73	1461	726	292	144	1772	259
5	726	1	144	334	878	64	174	1773	259
