b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
714	140	130	26	911	357	169	72	4	2
899	116	177	21	1191	468	243	100	91	5
705	493	142	94	1021	764	204	149	123	6
1267	77	257	15	1469	262	299	54	112	7
0	257	0	53	852	1100	170	227	113	7
244	1213	50	250	514	1445	108	299	146	7
433	1324	81	257	582	1464	111	286	8	9
180	0	35	0	913	629	185	133	162	9
681	612	141	130	949	936	190	192	163	9
1229	499	237	95	1433	654	276	125	7	10
5	33	1	7	798	499	152	95	8	10
353	939	69	197	885	1453	175	300	180	11
564	637	109	138	760	826	148	176	221	11
885	0	175	0	1532	684	300	131	180	12
0	728	0	139	778	1528	156	300	181	12
5	1198	1	233	358	1509	74	299	176	13
778	0	156	0	1528	712	300	138	181	13
0	712	0	138	414	1127	77	215	182	13
388	0	80	0	643	243	133	51	176	14
711	1213	135	251	961	1439	188	300	249	17
961	0	188	0	1375	449	271	94	249	18
327	613	69	123	777	1422	165	300	349	20
0	914	0	191	290	1197	62	253	350	20
777	0	165	0	1263	371	258	73	349	21
20	225	5	48	282	440	60	96	349	22
1074	1275	222	237	1366	1561	282	296	72	23
7	1258	2	262	210	1462	39	300	359	25
210	0	39	0	597	404	114	78	359	26
29	376	6	79	488	942	98	194	343	28
997	552	185	109	1297	839	246	168	361	31
140	909	26	182	709	1418	135	281	375	32
585	1179	111	216	1010	1604	194	299	378	33
1171	396	236	81	1488	702	300	145	149	38
1015	915	193	186	1283	1026	252	210	391	39
193	0	39	0	552	285	113	57	393	42
576	0	112	0	854	248	170	52	99	52
390	329	78	65	718	726	137	140	225	65
