b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
798	835	170	166	1205	1131	252	225	7	19
408	1125	84	211	789	1514	165	291	15	860
143	846	27	164	457	1164	84	222	30	722
181	1032	38	202	473	1519	99	300	31	721
1019	1063	207	205	1194	1274	243	246	31	725
1153	521	234	103	1411	847	283	164	32	725
1154	826	226	158	1459	1138	287	219	36	733
0	118	0	26	300	427	59	86	37	732
6	589	1	112	474	1031	92	198	38	738
328	1034	69	203	564	1246	120	248	40	742
679	1240	145	247	894	1524	184	296	40	745
85	876	16	173	303	1089	61	217	41	745
410	497	79	89	672	809	127	147	41	746
1427	676	273	136	1572	834	300	165	41	748
1021	0	193	0	1184	198	224	38	41	748
345	18	67	4	611	275	119	54	42	745
0	1143	0	226	214	1371	41	271	67	736
229	420	43	81	453	647	91	129	67	737
370	342	74	67	599	568	120	114	80	133
814	1074	163	217	1083	1394	214	280	100	235
498	762	99	159	643	914	129	190	137	838
250	1223	47	243	535	1511	101	300	138	843
561	6	106	1	1506	915	300	189	138	844
1225	1210	241	238	1382	1366	275	272	139	839
0	921	0	190	466	1462	95	300	139	844
466	0	95	0	866	373	176	75	139	845
