b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
1143	380	239	73	1442	1177	300	232	18	1411
0	726	0	145	230	955	42	187	19	1411
0	1226	0	242	259	1518	55	300	51	9619
960	512	184	101	1419	922	282	191	60	8239
867	1447	166	261	1084	1624	212	300	60	8258
1094	0	214	0	1503	403	300	85	60	8259
0	403	0	85	216	575	46	121	61	8259
775	1124	151	210	930	1279	179	238	105	1874
775	1155	151	228	930	1310	179	256	105	1890
222	481	44	89	876	1129	178	216	117	6787
72	12	13	2	519	470	95	87	118	6787
191	1135	40	210	339	1283	67	237	121	512
191	793	40	147	339	941	67	174	121	4448
197	895	41	186	339	1037	67	212	121	4611
