b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
398	933	78	190	1001	1477	196	300	1	2285
1001	0	196	0	1583	588	300	107	1	2286
0	588	0	107	952	1552	191	300	2	2286
948	0	190	0	1529	531	299	101	2	2287
4	539	1	102	967	1540	194	300	3	2287
967	0	194	0	1488	507	300	101	3	2288
0	533	0	105	660	1113	125	215	4	2288
933	459	182	95	1391	911	275	188	13	2366
1022	445	205	89	1435	892	295	181	16	1069
467	1173	95	249	661	1403	137	299	18	2352
666	36	138	8	1002	377	209	79	18	2353
1008	759	204	158	1440	1181	300	249	30	2104
918	601	183	120	1173	844	234	169	70	2313
640	0	132	0	826	194	173	43	75	2440
822	691	161	145	996	960	200	203	82	2452
13	0	3	0	795	776	169	158	83	2453
0	932	0	189	538	1499	113	300	83	2483
647	1047	134	215	996	1445	206	300	148	1830
996	0	206	0	1403	653	291	134	148	1831
456	980	93	211	1073	1361	223	289	148	2337
385	1332	80	276	525	1475	104	300	155	2437
1110	0	224	0	1365	280	273	54	202	1382
1003	177	201	36	1365	547	273	110	202	1717
4	532	1	107	977	1412	197	283	209	893
5	70	1	15	324	386	66	81	220	704
0	968	0	191	602	1469	125	293	220	2436
349	710	67	146	937	1116	195	227	247	1101
475	758	101	155	1013	1163	213	238	254	1101
0	704	0	149	458	1096	94	231	257	1711
596	375	116	77	1213	982	247	206	265	2477
764	807	164	161	1221	1270	257	256	339	2438
6	482	1	96	478	1019	106	208	339	2446
193	381	40	76	504	689	101	136	344	2436
3	172	1	37	273	468	58	97	357	2437
902	353	181	70	1090	566	222	116	363	2460
0	490	0	98	1064	1485	217	300	373	893
1064	0	217	0	1465	414	300	84	373	894
0	990	0	203	342	1204	72	248	373	1757
883	1166	178	240	1465	1451	300	296	373	1757
615	1060	123	211	1013	1460	211	300	374	1601
