b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
854	574	169	115	1398	1380	276	279	14	539
587	340	113	72	880	782	169	164	15	552
285	1154	57	240	402	1270	81	264	94	738
135	404	27	83	235	816	48	163	39	1868
1451	799	271	158	1561	908	295	181	51	2183
442	255	85	47	640	448	120	81	51	3734
242	170	47	35	653	688	135	149	40	4683
117	18	22	3	258	569	50	117	42	4691
816	874	151	173	1065	1136	197	223	41	4695
458	903	86	185	625	1168	118	237	66	4731
846	928	162	189	1025	1146	200	236	68	4740
121	0	26	0	548	460	116	98	73	4773
524	1076	109	226	984	1398	206	297	72	4774
1223	561	247	119	1443	785	291	165	74	4783
1223	934	247	196	1484	1189	300	248	74	4787
0	1189	0	248	250	1426	52	300	75	4787
510	1141	96	248	625	1255	118	270	66	4791
345	945	69	204	527	1165	110	253	70	4791
1400	321	271	69	1535	450	300	96	67	4806
569	695	106	147	789	916	148	189	23	4865
1285	1005	257	203	1423	1143	285	229	69	4868
525	990	100	212	840	1255	163	269	43	6159
1024	1101	202	224	1329	1391	269	286	82	6162
822	553	161	115	1044	774	205	159	59	6165
170	546	32	111	405	780	81	160	25	6580
