b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
1301	1291	224	260	1536	1525	264	300	7	2
892	114	170	23	1475	633	289	129	12	2
1536	0	264	0	1728	195	300	36	7	3
0	195	0	36	143	338	27	63	8	3
1068	1122	197	235	1296	1364	242	282	169	8
1036	648	192	129	1288	866	241	170	91	10
260	1007	50	197	778	1435	151	279	112	10
37	220	7	48	563	859	103	166	137	11
1325	620	250	121	1584	842	298	164	102	17
0	840	0	156	265	1161	49	218	88	20
627	1534	115	272	759	1666	143	300	155	82
759	0	143	0	954	195	182	39	155	83
0	423	0	80	407	720	85	145	71	91
841	406	163	85	1186	677	234	142	95	112
395	669	74	129	830	1007	161	196	166	115
1202	36	221	9	1467	297	269	55	270	132
855	782	163	149	1251	1151	241	222	197	141
278	871	61	168	503	1089	105	211	186	142
361	1287	68	249	685	1505	137	294	230	143
