b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
713	1203	141	256	939	1417	187	300	41	4247
260	956	52	188	871	1537	172	300	42	5073
871	1	172	0	1214	335	240	65	42	5074
385	175	81	34	1235	1503	254	300	43	4678
1235	1	254	0	1462	243	300	47	43	4679
1	243	0	47	898	1495	182	299	44	4679
903	1	183	0	1194	323	238	61	44	4680
11	243	2	47	266	624	52	123	46	4679
627	58	122	12	1101	487	214	91	46	4680
16	49	3	9	737	582	149	115	59	814
242	894	51	182	865	1440	175	294	59	4179
605	1001	128	202	1011	1385	211	286	100	3632
104	109	20	20	450	388	92	81	105	4180
909	1088	185	231	1339	1426	274	300	108	3772
1339	1	274	0	1454	115	300	26	108	3773
1	115	0	26	1447	1240	292	247	109	3773
1179	919	237	192	1447	1139	292	236	109	4042
582	720	123	160	1095	1184	228	258	110	2545
233	438	48	90	836	890	177	193	110	2600
703	22	141	5	1197	681	252	157	112	4769
611	166	122	32	1247	831	254	170	115	5769
1246	584	240	126	1559	862	300	179	119	5035
330	789	65	165	964	1421	199	300	130	3563
964	1	199	0	1416	531	290	108	130	3564
894	165	183	39	1427	658	289	136	131	4559
1	135	0	28	724	789	150	165	131	5126
15	765	3	159	315	1041	65	216	139	5783
454	138	90	30	908	724	185	149	144	5783
985	1	199	0	1491	505	300	101	144	5784
1	505	0	101	234	732	46	145	145	5784
143	759	29	162	649	1211	133	258	150	5093
439	1069	89	214	1168	1483	238	300	157	2888
1168	1	238	0	1479	258	300	51	157	2889
1	258	0	51	1298	999	257	199	158	2889
702	1	140	0	1475	564	300	116	159	2888
1	863	0	178	1031	1485	207	300	159	2985
1031	1	207	0	1435	160	292	32	159	2986
381	768	73	160	1040	1425	211	299	160	2885
1068	8	217	1	1452	404	291	78	160	2886
1	564	0	116	431	971	84	195	160	2888
15	422	3	81	1077	1493	219	300	161	2886
1077	1	219	0	1453	225	300	50	161	2887
559	824	117	173	926	1191	192	248	163	2887
21	1	4	0	407	407	83	84	167	5182
188	1172	35	244	634	1389	131	291	176	3597
55	927	12	189	309	1133	64	233	177	1208
434	859	84	166	780	1198	157	235	181	1007
430	196	83	39	780	529	157	110	181	4734
833	239	166	47	1258	672	253	138	183	4439
902	13	176	3	1497	549	300	114	185	3774
1	549	0	114	869	1425	175	291	186	3774
846	1	170	0	1498	528	300	105	186	3775
1	528	0	105	1002	1505	204	300	187	3775
1002	1	204	0	1474	448	300	90	187	3776
1	424	0	85	1014	1508	201	300	188	3776
1014	1	201	0	1539	503	300	95	188	3777
524	622	105	123	693	787	139	156	189	4347
920	883	179	182	1540	1322	300	275	192	58
128	345	25	65	1025	981	200	203	192	58
545	1149	110	233	682	1283	139	261	193	5171
99	270	21	55	682	867	140	180	197	5163
1078	843	217	175	1475	1361	300	284	197	5163
1195	56	237	11	1532	401	300	76	199	5164
1257	565	241	113	1459	786	278	155	202	417
1077	1035	208	208	1472	1424	280	280	202	5385
852	175	166	33	1048	402	202	76	202	5705
8	818	1	169	328	982	70	207	206	5794
679	594	145	128	1416	1035	300	222	213	2993
1083	554	225	121	1418	975	294	211	214	2960
1	1035	0	222	393	1419	80	300	214	2993
1118	796	234	160	1424	1033	299	212	217	5518
1	1033	0	212	439	1436	96	300	218	5518
1	909	0	182	679	1393	141	285	221	2715
453	626	100	128	1438	1443	300	294	222	4507
31	1	6	0	787	709	161	150	223	4508
1	62	0	14	721	666	155	141	226	2716
500	730	100	154	1347	1453	269	300	229	4508
438	164	88	35	752	420	150	85	229	5519
1	191	0	37	531	1227	102	238	241	5733
330	501	67	103	673	793	137	166	243	5582
211	187	40	39	916	1065	185	217	244	5322
302	453	65	96	833	958	175	199	246	4128
1	912	0	191	412	1375	85	286	248	5734
412	65	85	15	1430	1249	300	260	248	5735
1	1249	0	260	196	1455	38	300	249	5735
196	1	38	0	685	548	137	111	249	5736
237	958	47	212	809	1397	164	300	275	4316
809	1	164	0	1463	561	300	113	275	4317
1	561	0	113	969	1464	200	300	276	4317
169	702	31	146	934	1476	184	300	281	4574
934	1	184	0	1501	591	300	119	281	4575
1	591	0	119	837	1447	176	300	282	4575
837	1	176	0	1379	526	282	103	282	4576
697	904	139	191	961	1186	191	247	292	4914
168	382	33	78	751	674	145	136	298	1083
162	298	32	66	739	500	143	107	298	4893
667	498	134	109	1108	1000	219	207	300	5403
898	327	179	62	1378	820	275	161	301	5572
1089	554	212	120	1515	944	300	200	308	4663
1	944	0	200	479	1422	99	300	309	4663
505	1	100	0	1170	610	238	132	313	4306
1015	540	196	112	1537	951	300	194	316	5395
1	917	0	187	433	1387	88	281	317	5395
572	922	119	172	1417	1543	276	279	322	2605
96	1	19	0	415	233	81	45	325	2524
317	1186	59	255	541	1397	106	300	333	4687
541	1	106	0	855	207	172	44	333	4688
459	520	90	105	1087	1229	210	245	336	653
173	595	36	130	893	1221	188	262	340	4122
711	1169	150	244	986	1438	207	300	348	3249
1030	1	216	0	1172	123	244	24	348	3250
233	373	44	72	646	820	124	161	380	5572
974	384	196	74	1275	649	256	127	398	5572
