b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
435	968	78	193	665	1114	121	221	2	5
612	677	111	128	1254	1191	230	227	2	6
1106	112	202	22	1385	531	255	101	2	16
804	1052	155	203	1346	1482	255	287	3	10
571	1036	110	200	726	1322	141	257	3	16
265	634	52	121	606	1134	118	217	3	21
232	1	43	0	631	541	119	104	4	15
999	114	191	22	1543	592	294	115	4	18
1142	403	226	77	1489	663	294	125	5	65
1119	335	216	67	1549	729	298	141	6	66
40	232	6	44	701	1149	138	224	6	69
1156	1354	223	262	1367	1531	268	300	7	63
76	45	13	9	396	457	74	87	7	65
775	1183	155	230	918	1327	183	258	7	69
202	1120	33	223	617	1544	108	300	8	55
1024	647	188	120	1588	1208	291	226	8	77
816	969	158	190	1263	1489	242	292	9	40
1242	433	238	84	1554	592	300	121	9	48
337	476	63	91	672	1127	129	217	9	53
1246	1167	246	233	1445	1447	286	289	10	24
495	202	93	41	1246	1350	246	275	10	43
1080	571	200	113	1299	759	242	148	11	23
530	64	98	11	895	652	165	130	11	34
466	51	85	8	938	647	180	130	12	25
1301	352	248	69	1579	529	298	104	12	42
938	606	180	124	1330	952	255	191	12	45
1031	1232	200	252	1291	1472	253	300	13	22
1291	1	253	0	1447	151	286	31	13	23
769	1229	144	243	1004	1492	194	300	13	32
622	708	116	127	769	854	144	155	13	37
1068	1114	207	231	1310	1338	258	278	13	448
916	1112	175	218	1111	1309	216	260	14	29
1344	315	261	57	1502	463	290	84	14	37
234	283	47	58	493	566	95	113	14	49
642	733	123	147	1145	1283	221	253	15	36
348	939	62	194	683	1318	132	272	15	38
1	574	0	109	197	730	40	140	16	3
369	905	76	182	673	1213	135	243	16	4
795	471	160	94	1200	850	245	173	16	22
1407	1070	273	213	1543	1417	300	280	17	79
526	1179	100	222	909	1556	179	294	18	83
1336	322	267	63	1466	451	291	87	18	89
1086	250	215	49	1232	512	245	103	18	90
402	520	75	97	835	1030	159	196	19	80
1334	496	260	91	1524	707	300	134	19	83
1005	1076	190	204	1219	1299	238	252	19	91
1019	673	193	130	1219	879	238	175	19	269
534	249	105	49	737	805	145	156	20	93
438	908	86	174	726	1342	138	258	21	96
765	239	145	45	1021	870	200	178	21	97
830	808	159	157	1253	1116	242	216	22	103
322	230	62	42	695	530	136	105	22	110
17	754	3	153	330	1091	64	219	22	112
574	1086	116	207	886	1400	178	270	23	102
392	1085	76	203	700	1425	143	274	23	105
223	760	42	149	425	966	83	190	23	108
239	1240	44	244	405	1417	78	279	24	113
471	607	93	118	919	1149	185	226	24	114
1030	31	208	5	1461	705	298	143	24	115
996	1303	203	252	1211	1543	246	300	25	98
42	941	8	181	273	1173	58	229	26	98
1419	1248	275	242	1547	1431	300	278	26	146
453	618	91	127	1095	1295	230	269	27	143
21	118	4	21	282	311	56	59	27	147
677	1305	142	254	956	1544	196	300	28	55
729	14	152	2	1183	267	239	50	28	137
1313	935	251	178	1551	1122	300	218	29	132
226	31	41	5	821	1256	155	244	29	133
762	17	143	3	894	231	169	45	29	141
197	159	35	33	593	499	118	103	30	134
883	660	178	126	1035	816	208	157	30	142
970	320	178	63	1280	757	237	147	31	141
356	525	65	105	1376	1354	256	263	31	146
406	656	73	132	655	882	122	175	31	147
1376	448	256	91	1597	891	300	180	31	149
731	897	144	173	1504	1319	295	254	32	130
572	1269	112	248	731	1424	144	279	32	147
37	868	9	165	391	1232	81	240	33	137
214	138	46	25	516	488	104	91	33	138
1221	340	229	65	1469	562	278	109	36	152
32	762	6	150	240	1013	48	200	37	152
454	473	89	89	856	873	174	174	37	160
1	1230	0	241	251	1547	48	300	38	159
404	1068	79	202	711	1458	143	279	38	165
251	1034	48	199	791	1473	158	286	38	166
233	573	50	124	661	994	139	209	39	181
380	1102	79	213	711	1476	147	289	40	120
1	260	0	52	250	515	54	105	40	122
644	1252	131	230	866	1453	175	272	40	177
866	1377	175	259	1227	1585	248	300	40	178
418	552	81	100	1047	1315	199	245	41	177
42	167	9	29	545	588	104	108	41	178
101	919	19	179	512	1290	100	248	42	170
190	634	39	128	800	1325	159	261	42	171
1237	1382	244	275	1383	1510	272	300	42	184
690	599	148	119	892	844	190	169	43	175
646	1261	122	238	1012	1435	193	271	44	123
322	374	62	71	1421	1531	273	287	44	124
51	944	9	180	338	1562	65	299	44	126
92	17	17	3	902	752	170	144	45	128
240	1371	43	259	389	1498	71	284	45	180
15	366	3	68	443	702	93	134	46	129
778	1299	156	249	1155	1523	234	296	46	187
474	579	91	108	1042	1339	203	256	47	189
241	1302	46	252	751	1536	146	300	47	190
947	195	186	37	1317	584	257	111	47	193
230	50	47	10	334	154	68	31	48	194
1178	791	236	152	1499	1496	300	293	48	198
498	1213	101	224	1134	1606	226	300	48	199
1191	78	226	14	1576	507	300	98	49	197
1397	552	265	105	1543	694	294	133	49	198
1196	671	219	122	1355	873	250	161	50	204
1	642	0	122	256	846	49	163	51	203
447	993	87	196	825	1370	157	268	51	205
932	728	178	135	1393	1279	273	241	52	217
932	360	178	71	1419	712	279	142	52	218
418	393	79	76	977	1210	187	236	52	221
1081	9	218	1	1431	551	295	113	53	213
636	515	130	105	1081	1041	218	211	53	214
352	558	72	106	841	1081	170	210	53	216
1032	405	207	81	1437	826	279	158	54	210
35	555	7	114	984	1491	197	299	54	213
892	1345	170	269	1082	1500	207	300	55	246
251	58	42	10	836	834	157	163	55	247
421	1100	84	212	849	1540	165	295	56	229
1121	288	219	55	1523	688	300	138	56	233
1	910	0	175	236	1291	45	244	56	248
371	1424	77	275	485	1538	99	297	57	231
477	10	98	2	789	729	158	143	57	232
789	1066	158	209	1013	1276	205	252	57	232
1229	755	248	151	1427	963	287	193	57	233
136	229	26	45	371	506	77	100	57	233
1013	1225	205	240	1156	1367	234	269	57	234
1121	1256	227	256	1291	1401	261	285	57	236
310	86	59	17	562	401	111	81	58	255
102	751	18	148	238	887	46	176	59	5
