b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
789	1233	126	239	932	1375	153	266	541	696
273	1167	60	202	913	1497	197	266	427	1059
1013	1274	203	263	1227	1456	245	300	460	1064
1021	106	205	21	1494	567	297	111	460	1065
85	1251	18	238	440	1558	91	300	229	1090
440	1	91	0	611	182	125	36	229	1091
100	720	20	145	551	1194	114	244	502	1106
1121	1156	220	236	1470	1490	288	300	502	1106
5	70	1	11	1482	1524	296	300	503	1107
1	17	0	4	235	254	46	50	504	1108
925	254	181	50	1142	471	223	92	504	1108
733	471	141	92	1169	916	227	180	505	1108
424	940	85	191	1067	1221	209	245	263	1160
276	150	55	26	1439	1159	299	239	426	1185
5	1220	1	253	199	1421	46	298	427	1185
199	1	46	0	913	726	197	150	427	1186
1013	576	203	116	1490	1335	296	266	460	1192
306	1260	65	259	515	1447	109	300	486	1314
515	1	109	0	1040	440	218	95	486	1315
1	71	0	14	168	237	33	47	546	1330
752	50	160	10	913	233	192	46	577	1330
