b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
1248	0	238	0	1430	182	270	32	362	52
687	887	133	164	940	1153	183	216	388	228
1310	410	237	73	1535	635	283	119	457	42
1251	1083	227	210	1463	1295	267	250	563	43
493	560	98	107	947	698	184	133	600	488
1280	563	237	105	1429	713	267	135	652	266
156	956	30	180	472	1134	92	214	762	581
18	225	4	44	595	412	112	80	921	216
409	312	72	65	599	521	107	103	1365	233
43	521	8	103	168	646	31	126	1366	233
43	499	8	95	168	624	31	118	1366	267
28	592	6	110	862	824	160	150	1608	51
0	1065	0	201	147	1212	28	229	1701	233
701	1081	123	192	1199	1238	217	220	1750	234
