b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
1279	1113	249	214	1510	1343	291	256	463	231
253	1196	53	231	456	1399	88	266	519	1031
647	492	124	97	908	697	172	136	34	6379
88	35	18	6	1500	1281	300	252	38	6380
1	1281	0	252	318	1521	62	299	39	6380
318	7	62	1	897	523	178	106	39	6381
524	577	104	117	1152	1177	223	230	40	6381
1	447	0	88	1309	1586	237	299	41	6382
522	467	98	92	1218	1001	238	197	43	6384
515	601	98	106	932	1018	184	188	48	6386
293	233	59	42	1123	803	218	150	51	6387
923	547	170	100	1425	965	265	178	67	6389
1324	1221	251	225	1527	1369	292	256	70	6389
777	1149	150	228	1253	1511	243	299	82	6393
1	31	0	6	1139	675	223	136	101	6397
345	121	60	25	758	345	138	66	104	6398
229	336	41	58	1486	1710	267	300	411	6405
13	209	2	33	398	610	78	113	412	6406
1185	789	218	136	1602	1173	299	208	416	6407
66	1099	14	194	854	1693	158	300	417	6407
854	1	158	0	1152	196	212	35	417	6408
762	1012	149	187	1284	1609	246	300	418	6408
1284	1	246	0	1610	336	300	55	418	6409
1	336	0	55	895	1183	159	206	419	6409
