b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
281	92	59	18	459	276	95	55	42	414
804	153	167	29	1460	812	300	163	324	269
0	812	0	163	678	1501	135	300	325	269
678	0	135	0	1419	562	300	123	325	270
0	562	0	123	269	830	53	175	326	270
423	407	89	82	941	742	197	150	448	153
1279	232	260	46	1466	399	300	82	517	144
902	92	192	18	1081	273	231	57	726	280
534	0	113	0	684	144	146	31	779	289
846	162	186	35	1165	409	255	88	788	289
589	770	119	144	925	1106	185	209	984	305
977	1084	200	201	1171	1270	242	241	1091	429
701	264	152	53	974	485	212	100	1118	159
829	0	183	0	1074	273	237	57	1152	426
404	316	91	66	689	598	149	123	1198	224
842	851	177	155	1074	1086	223	201	1201	253
422	285	91	58	683	560	148	117	1286	308
575	318	120	64	881	629	186	131	1289	308
0	326	0	64	227	543	46	108	1294	292
64	767	16	156	256	965	53	192	1354	287
1160	892	235	159	1452	1168	299	218	1359	288
522	1155	108	225	692	1322	141	257	1413	310
703	799	157	155	1026	1083	224	215	1475	275
311	799	74	155	619	1083	139	215	1555	275
897	948	193	182	1392	1217	300	241	2099	201
0	1217	0	241	321	1502	67	300	2100	201
325	0	68	0	749	363	162	76	2100	202
320	750	68	146	510	923	110	183	2107	304
166	721	36	128	579	957	122	176	2565	435
848	1280	185	246	1114	1547	238	300	2573	405
1114	0	238	0	1400	177	300	38	2573	406
47	358	11	76	356	757	80	158	2772	289
888	1121	189	222	1206	1423	254	283	2940	152
811	1386	175	267	956	1529	209	300	3211	215
81	922	16	190	500	1416	107	295	3506	73
1115	717	235	145	1387	956	291	194	3586	157
338	168	65	34	457	294	90	60	3680	311
1190	441	240	89	1474	841	300	169	3900	287
1166	792	232	154	1492	1068	300	212	4006	275
1146	1145	243	230	1420	1383	300	279	4065	153
721	717	150	146	1052	848	216	174	4224	74
78	178	15	36	641	647	137	137	4391	391
369	1327	73	255	583	1538	118	300	4691	130
69	768	16	156	230	921	54	193	4831	94
532	565	122	107	727	751	166	149	4864	194
147	0	30	0	358	204	75	43	4875	106
900	935	201	178	1156	1197	254	232	4954	291
69	0	14	0	209	140	42	28	5009	292
157	293	33	58	344	485	74	100	5034	159
644	515	139	96	864	643	188	123	5080	245
787	315	173	63	1083	629	239	131	5109	308
552	1076	125	215	703	1236	156	247	5117	153
170	319	41	63	395	543	87	108	5135	292
724	726	156	144	927	939	200	188	5154	311
637	792	144	155	794	948	180	191	5184	292
1144	1070	266	213	1300	1226	300	247	5186	292
817	1141	182	225	994	1322	221	263	5190	284
1107	968	227	188	1432	1224	300	243	5194	284
756	424	164	86	970	633	210	129	5202	287
252	935	59	178	450	1197	99	232	5218	291
370	1155	82	225	530	1322	114	257	5231	310
0	967	0	195	327	1130	64	227	5279	154
181	952	37	196	627	1496	127	295	5336	289
823	0	161	0	1537	686	298	123	5336	290
941	917	189	173	1226	1171	250	228	5337	271
139	693	28	124	403	905	83	167	5337	290
148	148	30	31	509	500	101	100	5639	277
41	1280	9	246	305	1547	62	300	5788	405
305	0	62	0	640	227	133	48	5788	406
0	465	0	95	338	808	70	165	5793	406
384	540	72	113	583	721	110	146	6128	372
447	935	93	178	702	1197	146	232	6134	291
988	935	216	178	1195	1197	258	232	6290	291
1121	293	240	58	1311	485	281	100	6333	159
422	841	88	153	675	1086	139	201	6378	253
243	0	49	0	383	140	78	28	6445	292
603	347	127	73	855	598	178	123	6488	224
112	315	26	63	420	629	90	131	6526	308
781	1076	165	215	941	1236	196	247	6531	153
380	314	84	62	610	543	130	108	6539	292
792	726	164	144	1001	934	207	187	6578	311
1319	314	277	62	1424	420	300	85	6613	292
0	420	0	85	124	536	23	107	6614	292
1261	795	276	156	1368	902	300	180	6622	292
928	968	186	188	1399	1366	285	272	6644	284
350	419	70	85	556	624	113	128	6656	287
1296	805	261	162	1454	965	291	192	6656	287
675	545	135	115	926	805	184	169	6692	289
136	1081	30	212	501	1477	109	300	6781	285
776	1361	164	259	969	1554	202	298	6784	46
878	0	183	0	1409	630	287	126	6787	47
846	1155	168	225	1014	1322	199	257	6815	310
97	952	20	196	548	1496	110	295	7174	289
747	0	145	0	1475	686	284	123	7174	290
88	693	18	124	352	905	73	167	7175	290
378	1007	77	192	574	1171	117	228	7186	271
50	930	10	188	411	1069	86	216	7197	427
620	896	128	181	816	1089	170	224	7594	198
386	178	85	36	923	652	201	138	7803	391
608	948	134	182	1395	1497	300	299	7906	201
10	0	2	0	287	271	62	57	7907	202
339	742	71	145	525	923	112	183	7930	304
29	141	6	29	361	500	73	100	8034	277
16	1280	3	246	279	1547	55	300	8358	405
279	0	55	0	612	227	124	48	8358	406
130	132	28	28	557	808	116	165	8363	406
185	820	38	148	295	934	59	171	8374	435
35	911	8	184	179	1054	38	214	8505	47
19	0	5	0	170	150	37	31	8541	172
1224	685	243	124	1513	945	300	176	8859	262
13	945	2	176	593	1301	119	248	8860	262
