b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
1285	370	269	69	1453	571	300	103	2571	13
0	449	0	82	161	606	29	110	7634	13
210	268	43	50	649	721	131	142	1345	55
785	268	162	50	1232	731	251	144	4114	55
636	275	125	52	1041	603	208	116	107	70
270	1099	56	216	778	1486	158	292	446	73
759	1123	151	220	1186	1486	237	292	1199	73
864	882	175	174	1460	1437	300	282	5031	73
843	1204	186	229	1049	1410	226	267	703	86
477	1204	101	229	679	1402	138	265	1225	86
0	1272	0	241	130	1402	24	265	1808	86
648	925	134	177	864	1135	176	217	1201	88
71	9	14	2	490	468	93	93	4717	89
274	94	61	17	1043	502	225	103	2620	90
68	149	15	29	625	681	131	140	6043	90
460	94	101	17	928	464	199	95	7567	90
892	520	179	105	1132	766	226	153	476	94
153	520	32	105	386	757	77	151	1203	94
167	964	36	186	940	1470	190	286	7540	98
601	1157	123	228	992	1534	197	300	2604	99
622	1160	126	229	981	1534	193	300	5134	99
1019	1160	212	229	1400	1534	283	300	6038	99
769	1160	158	229	1142	1534	229	300	7539	99
0	815	0	153	164	984	34	188	3018	109
349	1375	74	247	576	1631	121	300	457	111
413	1375	83	247	639	1631	130	300	2770	111
181	1375	41	247	407	1631	88	300	6076	111
865	0	180	0	1378	488	288	101	35	112
576	0	121	0	995	391	208	81	457	112
27	0	6	0	442	391	92	81	1138	112
407	0	88	0	836	391	177	81	6076	112
184	268	41	49	628	666	131	130	458	115
0	469	0	91	192	666	38	130	2770	115
1077	654	216	120	1461	1068	299	204	1203	117
3	1073	1	205	428	1513	82	289	1204	117
120	1318	25	250	330	1513	68	289	1248	117
0	451	0	88	625	1033	121	202	3029	118
602	505	122	100	1337	1189	262	232	4290	118
321	442	67	86	1027	1189	202	232	5194	118
813	804	180	155	1361	1303	282	245	5173	121
245	1194	51	238	562	1345	112	267	2695	123
98	1227	21	246	347	1475	76	300	2743	131
0	421	0	87	301	722	63	151	2742	132
736	135	158	26	1046	431	228	93	452	133
132	774	26	151	645	1337	134	266	2685	134
959	1310	216	253	1190	1543	262	300	430	135
381	1310	78	253	636	1531	127	297	447	135
268	1310	57	253	496	1531	103	297	7669	135
357	695	75	139	713	1031	150	205	392	136
1190	0	262	0	1375	175	300	36	430	136
204	337	42	70	750	724	152	145	2695	136
345	0	70	0	817	217	170	45	2701	136
766	544	151	106	1011	1291	200	252	394	138
1201	908	253	172	1365	1079	286	206	440	142
1309	82	259	14	1514	261	300	50	418	143
868	837	185	167	1071	1040	231	211	7729	143
1043	1295	213	251	1152	1404	234	272	2699	145
115	155	24	25	482	453	97	83	552	154
1208	487	247	90	1330	603	270	112	3013	154
30	267	5	54	190	445	38	91	2848	175
820	959	173	197	1217	1383	255	284	5101	176
897	214	191	44	1198	527	250	105	4103	178
1063	218	227	45	1332	531	280	106	6177	178
947	660	201	131	1198	918	250	180	4103	184
119	953	25	185	624	1433	129	284	1051	197
783	953	161	185	1276	1433	264	284	2865	197
0	1051	0	207	394	1433	80	284	5129	197
793	953	164	185	1345	1476	278	293	7844	197
476	0	101	0	866	386	182	79	1208	198
418	579	83	109	971	1134	198	223	2859	200
0	665	0	126	497	1134	104	223	5122	200
0	738	0	141	405	1134	85	223	7779	200
1274	752	248	148	1527	993	296	192	2362	209
990	185	191	37	1172	346	230	70	1209	211
