b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
997	318	193	59	1365	689	270	139	306	4
7	937	2	177	586	1521	120	297	1046	2
678	318	139	59	977	671	202	135	1188	4
1278	988	271	181	1424	1134	300	209	2114	3
181	651	38	135	824	971	169	203	2536	7
918	581	188	113	1165	846	237	166	2537	1
532	265	109	48	974	571	202	111	2539	1
556	36	115	7	936	451	195	95	3128	5
265	265	55	48	638	571	132	111	5349	1
1109	732	229	148	1398	1014	290	207	6154	4
528	187	111	33	645	305	135	57	6155	4
911	123	200	24	1273	375	275	75	6733	12
1002	190	212	34	1399	671	294	135	7481	4
