b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
1155	127	236	30	1469	461	300	98	50	2
210	364	46	69	489	683	105	135	59	21
341	1046	74	211	805	1465	173	300	2182	1
310	19	67	4	705	397	151	84	2182	18
579	715	117	155	847	1056	173	224	2191	7
527	1058	109	223	957	1444	195	299	2192	8
957	0	195	0	1241	299	254	62	2192	9
896	529	185	112	1330	865	275	184	2205	36
978	954	199	202	1333	1271	275	271	3779	4
1186	1046	244	223	1385	1256	288	268	3781	65
0	486	0	103	574	1002	128	221	3801	12
859	774	183	154	1280	1113	272	225	3802	66
167	852	35	182	703	1202	148	257	3807	70
29	33	6	8	372	413	85	93	3821	86
387	339	80	68	604	609	127	125	3833	76
519	534	113	113	962	910	207	194	3838	36
472	8	96	2	898	364	185	75	4588	9
3	167	1	38	344	626	78	137	4618	27
59	1055	11	213	438	1465	91	300	4619	1
207	35	40	8	655	439	129	95	4623	74
1158	922	242	186	1343	1115	282	228	4641	84
1199	363	252	73	1414	605	296	124	4649	76
34	1062	6	227	346	1372	77	300	4804	3
547	742	116	157	1108	952	235	199	5808	10
28	569	6	121	700	884	148	186	5809	10
762	60	159	12	985	436	206	91	5819	62
1205	697	251	149	1411	936	294	199	7093	47
0	1234	0	250	209	1461	45	299	7097	1
314	90	68	21	952	1046	204	225	7097	2
0	233	0	50	422	527	92	113	7097	18
0	1093	0	221	406	1465	86	300	7105	1
0	156	0	36	429	539	92	116	7105	2
0	121	0	27	306	401	64	85	7105	18
586	363	124	73	880	713	187	145	7132	76
4	697	1	149	211	936	44	199	7151	47
