b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
217	107	40	21	397	287	73	54	16	43
203	547	39	105	412	750	79	144	22	573
1000	382	184	69	1351	733	248	133	28	556
317	714	59	133	683	1080	125	199	50	576
578	1262	108	217	922	1606	172	281	54	769
621	786	122	167	1001	1162	193	236	64	34
81	118	17	21	328	365	62	66	77	556
1124	1065	211	200	1523	1464	285	274	78	555
418	75	83	14	632	289	125	56	110	323
955	879	198	170	1464	1388	300	271	132	145
838	146	167	26	1172	560	238	111	133	91
0	1388	0	271	144	1531	29	300	133	145
144	0	29	0	423	278	84	54	133	146
227	1144	47	219	466	1383	93	265	133	175
685	450	131	93	900	667	173	135	135	314
216	547	46	103	460	799	96	155	136	145
1258	862	237	165	1593	1192	300	227	141	1031
286	478	52	87	424	693	80	128	142	96
0	1192	0	227	388	1578	73	300	142	1031
388	0	73	0	541	153	100	27	142	1032
1016	52	191	11	1349	385	255	75	146	361
1016	333	191	62	1349	666	255	126	146	365
1241	1350	228	260	1463	1571	268	300	155	15
1396	0	254	0	1607	211	294	40	155	675
350	960	68	169	566	1191	108	211	156	222
576	1240	111	222	818	1486	154	266	181	659
1126	55	206	10	1641	570	300	104	181	692
0	570	0	104	1021	1589	196	300	182	692
942	393	163	73	1158	609	208	116	183	661
942	931	163	178	1570	1559	281	296	183	667
672	1343	132	235	1019	1689	197	300	186	21
1048	355	220	70	1442	592	297	116	188	15
449	725	84	141	661	920	119	176	196	15
0	704	0	136	480	1099	88	209	224	16
889	1030	174	182	1220	1363	245	254	228	12
1043	392	191	75	1463	812	270	154	237	643
745	0	135	0	1626	884	300	165	238	838
603	1373	116	268	756	1526	147	299	250	346
508	1116	97	217	676	1284	132	252	254	354
0	1162	0	210	141	1280	28	233	255	244
530	1028	104	187	748	1236	144	226	256	115
1092	1342	202	238	1347	1536	253	278	258	11
1070	886	198	175	1275	1091	238	215	258	280
