b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
871	384	184	69	1080	539	226	100	1973	64
1022	1302	198	255	1216	1526	237	300	1279	121
1216	0	237	0	1564	455	300	86	1279	122
0	447	0	84	419	839	83	164	1280	122
681	7	134	1	1254	750	246	143	1277	124
182	331	36	61	722	1043	138	199	1282	124
1087	7	205	1	1559	675	298	130	1315	124
1157	49	224	9	1494	531	288	103	1267	405
12	506	2	98	219	708	41	137	1268	405
116	980	23	188	576	1338	113	259	1247	406
1142	948	209	180	1592	1367	300	265	1288	407
63	843	13	157	853	1565	165	299	1290	410
860	0	166	0	1593	773	300	149	1290	411
0	773	0	149	805	1573	150	300	1291	411
1133	497	222	95	1564	1017	300	193	1279	412
0	1017	0	193	419	1435	83	277	1280	412
805	0	150	0	1219	426	227	81	1291	412
238	0	46	0	393	154	76	30	1455	412
549	103	109	21	1490	877	299	179	1280	413
30	877	6	179	301	1147	62	235	1281	413
282	0	54	0	420	146	82	29	1926	418
664	551	129	105	813	700	157	133	1974	618
124	336	28	72	263	475	56	100	1973	824
949	320	189	68	1115	475	223	100	2097	824
509	91	98	19	777	371	148	73	1524	1001
1016	91	199	19	1288	371	252	73	1609	1001
0	985	0	200	502	1459	102	298	1613	1003
1143	550	213	108	1446	843	271	165	1238	1045
926	550	186	108	1112	738	220	143	1613	1045
425	619	80	117	915	1169	178	224	1239	1046
1153	1083	223	214	1323	1305	255	258	1206	1049
502	382	96	78	610	541	118	110	1346	1055
117	418	21	83	298	587	55	116	648	1068
295	601	57	119	510	818	100	162	1926	1068
29	1105	7	226	263	1309	56	268	1973	1161
949	1142	189	234	1115	1309	223	268	2097	1161
1111	900	225	185	1344	1214	272	249	2104	1161
114	21	26	5	263	178	56	37	1973	1250
977	39	195	9	1115	178	223	37	2097	1250
