b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
717	202	142	38	897	382	175	71	42	16
184	188	39	36	387	397	78	76	560	22
187	981	33	181	538	1332	97	245	543	28
366	293	65	54	732	659	131	120	563	50
65	552	11	103	409	896	75	167	756	54
5	597	1	117	377	971	69	187	34	64
883	1084	164	203	1282	1483	238	277	542	78
595	355	122	70	809	569	164	112	320	110
963	857	185	179	1544	1439	300	295	144	132
416	742	77	148	830	1076	162	219	90	133
26	1	5	0	351	327	69	65	145	133
941	131	177	28	1180	370	223	74	174	133
1047	576	212	111	1264	791	254	153	311	135
631	125	118	26	883	369	170	76	144	136
1221	1144	211	216	1666	1595	294	300	1002	141
727	172	136	31	942	310	177	59	95	142
1	31	0	6	396	427	73	79	1003	142
1070	317	211	58	1199	446	235	82	14	146
400	909	75	169	733	1242	139	233	358	146
669	909	122	169	1002	1242	186	233	362	146
856	1103	156	204	1222	1469	222	270	15	155
811	1083	151	201	1200	1469	222	270	661	155
441	221	82	43	672	437	124	83	221	156
693	414	118	78	939	656	162	121	646	181
943	964	183	173	1571	1594	300	290	678	181
47	1	10	0	998	952	189	179	679	182
383	766	71	130	1011	1394	189	248	654	183
567	506	101	98	999	938	181	178	21	186
775	1413	139	250	935	1573	167	278	30	195
1	1188	0	222	376	1563	71	293	16	223
920	623	158	121	1253	954	230	192	12	228
1	817	0	150	323	1139	61	211	630	237
166	294	34	53	1352	1480	252	271	824	238
270	224	54	42	484	460	99	93	344	250
516	1075	90	205	695	1277	127	247	243	254
1	139	0	28	116	254	24	52	352	254
1240	109	225	19	1448	327	264	59	114	256
1304	595	228	109	1494	847	266	159	11	258
307	573	62	105	512	778	102	145	278	258
