b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
579	30	105	5	1352	1278	251	234	576	36
57	622	13	112	381	942	79	175	577	42
915	1338	163	258	1202	1536	217	293	1604	71
976	187	197	36	1187	372	238	72	98	94
64	1	11	0	221	528	45	103	99	94
335	769	62	149	1632	1337	299	250	158	96
47	1343	9	251	354	1600	64	297	159	96
1203	300	221	58	1528	511	278	93	159	97
349	1	63	0	641	294	120	57	159	97
520	558	94	101	1605	939	300	171	215	97
144	924	31	168	1024	1381	206	251	216	97
145	304	27	57	1627	1458	300	266	174	98
1	1458	0	266	205	1662	33	300	175	98
