b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
1	1290	0	244	229	1482	51	286	553	57
1153	1168	233	218	1455	1424	300	275	567	57
136	214	25	40	727	593	138	107	588	66
1386	1106	255	197	1623	1327	300	240	588	66
237	632	49	125	800	865	172	173	569	76
492	408	105	77	698	590	152	119	569	77
271	448	53	86	936	1340	181	255	527	89
14	432	3	77	197	575	42	109	886	159
1265	307	250	58	1442	483	284	93	955	232
646	1018	115	199	795	1167	145	229	763	249
32	869	6	175	698	1466	144	300	1000	268
698	1	144	0	1068	384	224	83	1000	269
