b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
196	1178	39	240	413	1387	80	280	155	385
355	213	62	41	610	506	113	100	293	233
27	343	6	63	226	532	41	96	330	199
668	1037	138	203	846	1365	171	267	447	603
924	811	183	164	1120	1014	220	201	459	446
1099	465	220	92	1262	627	251	122	589	494
663	914	127	187	1332	1471	255	290	602	520
1158	303	224	57	1555	668	299	125	602	521
338	1	62	0	736	485	139	90	602	521
1140	382	226	77	1459	679	286	132	610	363
260	1	49	0	1271	835	249	161	611	363
463	472	88	93	826	644	154	126	612	363
