b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
17	902	3	185	451	1438	97	298	2990	417
746	950	138	198	1017	1199	191	247	1421	561
1147	614	224	123	1432	868	280	173	2085	623
584	4	107	1	1457	598	274	114	752	699
496	189	99	38	632	479	126	98	2361	827
622	276	112	54	874	633	161	123	826	901
576	793	103	161	753	965	138	196	2758	1037
525	525	100	107	811	963	161	198	1166	1045
263	1255	53	257	459	1430	92	292	2484	1065
4	924	1	194	434	1456	83	300	2900	1299
434	14	83	3	1472	979	295	209	2900	1300
107	0	23	0	592	526	123	104	2901	1301
1062	665	201	139	1509	1007	290	212	665	1712
800	0	161	0	1311	548	263	112	1041	1891
800	0	160	0	1002	269	200	54	2936	1978
143	487	29	108	594	880	124	193	2679	2005
34	99	7	19	363	724	71	145	2479	2430
890	188	174	40	1475	874	300	184	2481	2431
1065	1042	203	210	1477	1487	283	300	2479	2434
0	672	0	129	475	1505	90	291	2480	2435
1128	390	215	80	1585	969	300	191	2480	2437
0	969	0	191	507	1505	100	300	2481	2437
459	38	90	8	956	568	187	109	2481	2438
718	0	143	0	987	670	198	139	2482	2439
730	0	129	0	916	201	167	41	1763	2647
1129	243	220	54	1549	882	300	181	1439	2710
0	882	0	181	332	1375	61	278	1440	2710
85	1250	16	262	287	1447	54	300	1984	2837
303	820	60	171	661	1219	129	247	1742	2845
581	1182	119	243	841	1447	169	294	1272	2866
784	223	148	47	946	356	179	72	2524	2884
1069	1188	202	252	1309	1427	249	300	2898	3064
851	0	170	0	1174	330	239	72	2485	3197
1020	272	188	54	1571	888	296	176	339	3271
0	572	0	123	245	829	47	172	1294	3397
