b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
1077	428	200	83	1370	910	256	176	287	10
89	1125	17	208	317	1563	63	298	666	27
242	353	51	66	474	642	98	124	2895	45
471	922	95	177	991	1386	198	272	1009	76
499	99	97	17	844	319	164	64	245	78
486	794	90	151	972	1291	182	248	529	78
46	44	9	6	560	541	108	101	530	79
1263	201	247	38	1407	345	275	66	245	80
417	1007	84	197	930	1533	183	300	1367	89
1132	81	208	14	1328	273	247	53	2692	110
1186	165	228	29	1361	354	262	63	1947	139
793	921	156	175	1114	1207	222	234	1213	210
