b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
1	1095	0	212	449	1430	82	276	2	1505
1029	557	203	108	1449	985	295	201	14	1059
908	1006	180	196	1509	1545	300	298	31	1057
12	1	2	0	274	233	53	43	32	1058
702	1235	145	240	904	1555	186	300	42	2088
369	222	80	41	654	323	139	64	142	1745
507	1228	94	229	1021	1578	197	300	184	1747
1021	1	197	0	1543	523	300	103	184	1748
855	1411	163	257	1175	1641	227	300	184	2029
1175	1	227	0	1543	367	300	72	184	2030
1195	385	244	79	1474	559	300	116	188	2064
571	375	120	73	973	671	203	133	234	1752
620	1103	131	210	966	1372	202	265	234	2021
1	159	0	31	312	439	57	82	236	131
1	60	0	11	312	362	57	66	236	1423
6	540	1	102	303	802	55	149	236	2021
1	1116	0	212	317	1395	58	263	236	2030
1	1358	0	263	175	1545	35	300	236	2064
6	775	1	133	141	906	28	159	236	2592
594	1	120	0	891	320	177	61	260	1751
949	15	187	3	1128	240	226	49	305	2033
1063	821	221	161	1448	1178	300	232	347	1928
1093	1	228	0	1448	255	300	49	347	2087
1	1178	0	232	329	1510	67	299	348	1928
1	255	0	49	668	916	137	183	348	2087
198	1331	39	264	381	1513	75	300	354	1949
1	166	0	34	858	1048	173	211	355	1939
171	1048	35	211	669	1452	140	299	356	1939
549	1140	107	218	839	1276	154	241	364	1617
387	841	76	158	589	1043	113	195	364	2108
1	67	0	12	138	202	26	37	365	1618
1	1097	0	207	433	1481	77	276	365	2108
438	644	86	120	889	1047	170	196	431	2052
