b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
934	626	171	132	1265	910	242	191	7	7073
311	1379	57	271	453	1514	87	300	8	7070
453	1	87	0	732	251	145	52	8	7071
239	105	44	23	429	285	84	61	17	4444
1	380	0	74	162	529	31	103	332	336
1386	525	248	102	1675	836	300	160	356	336
1073	274	176	58	1504	472	261	97	390	1793
1073	19	176	4	1219	160	206	33	390	1835
1	892	0	181	185	1073	41	221	391	4263
1333	535	269	112	1488	676	300	140	392	4516
672	829	119	176	1043	1289	195	268	412	3742
799	314	143	65	1002	521	181	104	453	6364
132	844	27	176	339	1194	70	253	472	7464
415	829	73	173	546	959	101	202	495	5170
239	485	46	100	375	627	78	133	507	1717
592	190	125	40	829	518	170	104	507	1718
1	195	0	41	143	337	28	69	508	1718
749	1154	133	236	1075	1458	201	300	508	1770
1312	623	251	133	1558	899	300	188	508	1771
1075	1	201	0	1284	217	245	46	508	1771
1	899	0	188	142	1033	27	214	509	1771
1244	82	237	19	1384	223	266	48	512	1728
964	332	179	67	1506	867	294	182	520	6956
1	219	0	45	213	432	44	89	554	3584
434	202	73	43	939	700	167	138	558	2912
434	122	73	27	837	378	149	77	558	7010
541	1326	99	274	691	1453	130	300	635	6695
691	1	130	0	1139	468	222	97	635	6696
1439	660	269	138	1595	812	300	168	636	6696
1	812	0	168	774	1504	147	300	637	6696
774	1	147	0	1172	383	229	78	637	6697
1138	1129	223	232	1330	1310	262	270	675	5033
1048	7	206	1	1276	255	250	50	675	6220
507	1231	95	253	742	1452	145	300	679	6082
742	1	145	0	904	156	177	31	679	6083
17	1221	3	243	204	1438	40	286	681	5334
905	1	166	0	1079	195	203	41	686	2894
859	1282	157	266	1007	1444	188	300	686	5343
1007	1	188	0	1400	387	269	78	686	5344
950	268	177	56	1534	715	300	150	689	5353
1376	59	264	13	1552	251	299	52	691	6005
1239	1057	237	221	1548	1322	298	273	691	6008
672	565	126	118	1109	973	213	197	701	5958
1	226	0	50	672	912	138	190	703	6057
224	168	41	34	445	391	82	75	706	5864
260	801	49	150	515	1139	102	221	720	5872
1	908	0	192	559	1453	111	300	724	6023
559	1	111	0	803	236	159	47	724	6024
54	779	10	162	294	979	58	205	728	5539
443	678	88	137	799	1008	152	197	737	2250
1268	1211	239	232	1395	1338	264	257	739	6025
1218	1	219	0	1610	396	294	75	829	2412
8	1332	1	260	193	1516	35	294	830	2553
1543	205	279	39	1650	312	300	60	837	2326
1160	1	231	0	1494	309	300	65	865	4522
102	1099	21	226	364	1332	72	270	931	7001
43	394	7	81	178	523	36	109	952	3644
317	1186	62	239	481	1347	98	275	1026	7108
493	808	100	166	682	976	138	200	1026	7109
1339	598	249	125	1594	831	300	174	1027	6940
645	644	122	129	1137	1138	224	232	1028	7107
330	1030	60	215	713	1406	133	288	1072	1777
68	1	13	0	398	457	83	97	1143	2917
616	1	126	0	729	114	151	25	1143	2920
1038	1	212	0	1250	211	260	47	1143	2923
1	696	0	145	438	1136	91	237	1144	2924
745	838	138	172	1142	1170	219	240	1267	3224
55	1028	10	217	266	1230	53	259	1385	5875
817	585	152	121	1066	811	201	166	1386	3350
701	324	128	68	1113	706	210	146	1386	5853
21	1	4	0	131	111	26	22	1401	5549
409	887	77	181	542	1020	102	206	1421	4698
917	1286	175	269	1095	1451	208	300	1428	6830
421	1286	78	255	662	1515	126	300	1428	6831
662	1	126	0	1095	414	208	82	1428	6832
125	1269	25	275	245	1389	50	300	1449	6819
147	941	29	197	579	1428	121	300	1449	6822
579	1	121	0	1188	610	252	131	1449	6823
776	246	140	48	1229	630	237	131	1467	531
776	247	140	48	1351	1139	262	243	1467	4386
926	1	173	0	1198	254	232	57	1467	4388
841	171	163	32	1512	620	300	123	1506	4300
1	620	0	123	1128	1509	213	300	1507	4300
1	454	0	87	212	661	42	130	1508	4301
73	86	14	17	312	565	59	113	1630	6460
1458	406	270	78	1597	543	300	108	1659	2291
1	543	0	108	454	945	92	191	1660	2291
920	723	168	148	1038	831	191	170	1661	883
920	786	168	166	1105	961	205	202	1661	896
400	197	75	39	916	805	182	167	1663	2689
1205	757	232	163	1362	901	264	192	1679	7092
296	1014	53	221	647	1399	125	300	1717	39
1454	169	277	37	1563	278	300	60	1717	1794
958	202	156	44	1156	402	196	83	1766	4332
1152	1381	204	261	1369	1603	242	300	1774	6336
116	671	21	142	252	807	47	168	1783	6287
954	1209	169	247	1229	1475	223	300	1785	6340
1229	1	223	0	1487	245	274	49	1785	6341
485	147	94	30	818	727	168	163	1788	16
1184	1	218	0	1445	254	273	54	1789	224
941	1044	170	214	1358	1458	255	300	1791	213
1	192	0	38	457	643	88	125	1792	214
15	628	3	131	343	983	74	208	1794	207
1	104	0	21	278	395	60	83	1794	207
670	1437	124	261	879	1611	169	300	1845	7402
1127	75	218	17	1502	415	296	89	1845	7403
909	105	173	23	1504	896	299	193	1846	4444
1	1040	0	215	399	1438	85	300	1847	4443
493	1175	88	249	750	1430	140	300	1850	7363
964	1194	202	243	1153	1382	241	282	1851	7359
581	1	120	0	1078	556	225	117	1851	7360
313	440	60	94	739	850	146	177	1852	7360
344	972	66	205	959	1426	193	300	1852	7364
959	1	193	0	1072	114	216	23	1852	7365
34	303	8	58	965	1174	187	226	1853	7362
241	733	50	152	1163	1447	245	300	1864	7328
1163	1	245	0	1441	261	300	51	1864	7329
1	261	0	51	184	437	36	86	1865	7329
139	205	24	44	515	520	97	107	1905	2560
845	963	156	186	1062	1185	197	228	1946	4492
1139	825	219	167	1320	994	257	203	1964	6240
607	547	113	115	998	956	196	202	1965	6220
916	1187	174	253	1106	1418	216	300	1971	4647
1319	1216	259	243	1493	1436	292	286	1971	4648
1106	1	216	0	1236	131	241	25	1971	4648
532	430	95	91	769	699	145	151	1971	6693
307	619	58	130	503	815	99	171	1982	3424
849	538	157	108	1328	1146	246	224	2001	5195
746	31	132	6	1616	885	300	171	2004	5196
1	885	0	171	675	1547	133	300	2005	5196
675	1	133	0	1206	504	232	92	2005	5197
544	896	107	193	947	1294	186	272	2223	4483
473	464	102	96	819	671	167	136	2280	2404
109	754	22	155	577	1201	125	255	2280	2406
931	192	188	43	1106	393	225	85	2281	5889
286	686	56	142	824	1183	166	246	2289	6376
695	79	125	17	1074	467	204	98	2379	4255
719	371	138	75	925	569	181	118	2389	1142
408	1	73	0	654	248	121	48	2390	1149
1249	1146	234	243	1547	1398	296	300	2392	1153
96	123	20	27	599	483	124	104	2393	1155
1	942	0	196	310	1234	68	260	2396	6538
1	1080	0	234	177	1204	41	262	2396	7063
287	960	52	201	461	1125	90	237	2397	5489
381	1068	70	218	681	1354	133	278	2534	2582
1226	525	225	101	1621	908	299	174	2551	4161
844	196	161	39	1109	461	209	87	2726	2570
1041	1	194	0	1164	138	221	30	3008	4239
786	654	151	144	1431	1212	282	259	3280	5889
1347	404	232	81	1583	637	276	125	3288	5315
437	214	81	44	636	397	119	79	3485	6998
597	535	119	113	849	800	169	168	3685	3638
443	649	80	129	709	964	133	193	3798	5503
729	60	138	13	835	223	164	51	3798	5504
1100	1053	210	212	1433	1352	276	271	3799	18
368	869	78	166	917	1207	193	234	3804	6119
79	1105	14	229	248	1279	50	266	3825	3353
113	375	21	81	248	529	50	114	3825	4676
807	987	154	213	1261	1436	243	300	3840	5362
958	787	187	156	1375	1052	269	210	3842	4206
1174	736	229	152	1460	973	286	198	3843	5387
1299	940	239	197	1602	1299	296	272	3845	5367
327	513	62	110	507	688	101	148	3853	6195
817	159	150	32	1012	347	192	73	3971	34
831	1215	166	255	1055	1433	211	300	4201	4875
1143	597	198	119	1519	955	276	195	4215	170
716	197	128	41	899	379	168	81	4308	5747
716	1257	128	266	878	1407	164	300	4308	5750
626	1139	117	229	975	1442	191	294	4467	3242
635	578	127	120	819	756	164	156	4478	7084
606	233	117	47	1128	780	224	161	4493	7205
578	132	114	30	1029	580	210	125	4807	1807
1435	202	251	44	1643	402	292	83	4857	4332
1146	789	210	169	1333	944	250	204	4942	4241
88	1184	15	245	252	1346	47	276	4985	4346
448	699	84	142	695	991	130	197	4993	6062
258	1	47	0	569	277	108	56	5028	4435
453	758	81	161	1098	1422	212	294	5063	5373
642	272	118	56	1257	915	247	189	5087	4574
85	970	16	205	528	1426	108	300	5144	4420
101	34	18	7	269	178	54	37	5159	34
458	1072	93	217	635	1241	132	254	5205	1782
458	667	93	140	635	829	132	175	5205	2542
458	1081	93	232	761	1405	157	300	5205	4390
933	36	168	7	1359	437	252	86	5244	7329
915	716	181	146	1118	904	222	186	5290	36
541	444	102	91	959	836	190	177	5290	37
269	731	49	156	461	964	90	208	5348	4241
1204	121	226	27	1510	412	291	90	5392	4291
