b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
146	446	29	92	908	1168	176	237	568	191
1317	449	237	87	1558	697	286	137	1160	55
494	14	89	3	718	254	132	50	2639	153
935	261	171	51	1498	662	276	130	3322	367
1304	133	247	28	1564	396	300	80	3996	59
1304	215	247	42	1564	477	300	94	3996	68
1	396	0	80	547	943	108	189	3997	59
1	477	0	94	547	1023	108	202	3997	68
545	1	109	0	697	153	139	30	4290	55
384	731	73	149	697	1157	139	236	4290	76
384	721	73	150	697	1022	139	211	4290	79
802	1162	136	225	993	1484	171	280	5303	284
