b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
966	968	192	199	1327	1101	270	225	215	231
962	11	191	2	1288	777	264	166	215	232
536	1297	100	243	825	1590	154	296	229	277
653	365	122	77	848	581	158	118	267	720
702	184	135	38	917	421	172	80	365	725
287	28	55	7	469	251	94	54	261	738
459	130	94	24	581	252	119	49	311	792
1185	212	229	41	1519	670	299	133	274	878
8	893	2	180	395	1263	81	256	156	1032
400	244	75	54	732	591	140	121	382	1080
864	1013	172	199	1190	1263	234	249	360	1095
252	716	52	145	470	1029	96	207	306	1499
593	82	114	17	1441	687	277	133	356	1658
709	31	144	5	868	245	175	48	353	1678
275	1351	51	274	406	1473	79	300	186	1680
558	563	107	103	1387	972	270	184	143	1715
56	718	10	151	597	1339	125	279	182	1717
586	494	122	98	732	639	154	129	183	1718
873	802	165	166	1023	1064	196	220	184	1724
666	1074	127	222	861	1243	163	254	187	1724
769	50	146	11	1102	494	210	100	187	1725
43	612	9	120	560	853	114	167	129	1901
588	170	117	33	819	411	166	84	400	2065
202	683	38	134	578	972	114	193	369	2067
1086	913	228	186	1266	1183	267	246	189	2223
894	89	163	19	1057	400	197	83	320	2236
369	1138	75	228	470	1239	96	249	306	2297
261	949	53	196	466	1361	96	275	394	2320
1260	749	252	144	1395	885	282	175	311	2434
782	1185	148	235	971	1405	184	277	359	2507
