b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
986	1272	178	237	1156	1440	212	270	40	144
582	825	115	162	835	1008	165	198	206	566
116	1120	21	214	240	1529	46	300	204	658
252	190	50	35	969	1403	197	270	218	682
585	862	116	162	1126	1461	216	282	220	713
1	509	0	103	304	996	55	191	51	723
683	771	129	167	1474	1324	288	279	239	742
1255	351	243	70	1375	517	269	108	239	743
76	121	15	26	451	1043	91	210	241	745
757	712	141	141	1383	1238	267	251	62	865
425	671	85	135	833	1084	169	220	65	904
621	1051	125	206	809	1267	161	249	188	905
908	1	180	0	1033	125	205	25	67	906
503	928	104	190	1200	1349	244	282	189	908
1057	152	201	30	1307	311	254	65	96	918
127	209	22	39	386	884	69	161	110	937
1154	1	218	0	1500	566	288	111	108	941
698	1014	124	198	1191	1513	213	287	69	1017
247	855	43	170	465	1090	84	212	10	1216
655	15	127	3	910	525	175	101	123	1231
