b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
1195	1427	240	267	1332	1575	271	300	7090	48
1283	202	240	37	1578	826	300	162	238	120
477	382	97	80	835	972	171	204	424	132
900	1176	185	232	1365	1357	283	269	6177	143
490	1348	97	263	610	1481	122	291	6283	160
606	22	121	4	1042	378	200	70	6283	161
177	967	39	195	334	1131	71	228	6284	161
280	309	56	64	435	481	90	101	1825	176
738	1015	146	208	1063	1447	216	300	4729	182
1063	1	216	0	1331	273	274	59	4729	183
1038	324	216	69	1487	795	300	157	4730	183
1	795	0	157	694	1484	145	300	4731	183
694	1	145	0	1076	360	216	67	4731	184
794	67	155	14	1035	379	203	75	6431	196
141	398	26	83	340	596	67	124	6709	198
248	537	52	111	517	820	101	167	6438	204
67	1175	13	232	300	1415	60	281	7121	213
297	1175	63	232	516	1415	107	281	7122	213
655	12	131	2	798	157	158	30	2994	225
1	944	0	189	643	1459	140	300	151	229
82	1140	17	232	348	1459	75	300	154	229
1166	812	234	163	1481	1005	300	202	5045	229
1217	430	231	82	1535	742	300	149	6649	229
1	742	0	149	743	1459	157	300	6650	229
143	1	31	0	1475	1283	300	265	154	230
870	175	177	40	1445	724	297	151	5046	230
743	1	157	0	1410	674	300	142	6650	230
1	674	0	142	794	1461	159	300	6651	230
564	1	112	0	969	365	192	70	152	231
195	305	42	58	551	641	112	124	153	231
234	1	47	0	638	365	126	70	155	231
1	434	0	84	240	641	46	124	156	231
96	955	17	184	282	1512	51	292	6562	231
794	1	159	0	1445	641	288	124	6651	231
404	1250	79	250	756	1500	149	300	5393	236
712	806	142	161	1109	1259	220	252	6563	236
100	806	21	161	567	1272	115	255	8417	236
383	1267	82	265	538	1432	114	300	6393	256
538	1	114	0	858	334	178	67	6393	257
1147	542	242	108	1435	807	300	163	5978	268
1	807	0	163	267	1064	62	222	5979	268
1	1183	0	237	322	1474	68	298	5246	273
816	1101	158	220	998	1274	196	256	5248	273
327	1	69	0	759	452	156	96	5246	274
890	1	183	0	1101	212	225	43	6432	304
772	572	148	111	1156	919	228	183	7634	318
843	20	178	4	1372	188	287	37	9383	320
844	708	175	138	1221	1080	253	215	9384	320
69	206	15	40	269	413	56	82	9384	320
702	20	136	4	1165	413	229	82	9387	320
980	755	202	147	1397	1156	288	230	2500	342
1061	1167	215	236	1397	1495	281	300	10335	395
1	105	0	18	718	812	134	150	10336	396
11	1256	2	253	265	1510	49	300	9995	507
1243	1373	249	259	1446	1574	291	300	10228	572
1079	1376	218	260	1295	1574	262	300	10229	572
625	573	126	114	849	794	171	152	10335	592
277	344	56	63	618	935	122	182	6511	2602
1006	689	196	131	1465	1116	288	219	6512	2602
