b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
1213	281	233	58	1415	434	278	92	784	3
677	1029	138	214	843	1195	169	245	1393	15
1150	290	235	60	1428	550	289	112	851	33
124	816	23	173	286	1005	55	212	653	40
185	16	38	4	464	290	94	58	209	52
1346	93	269	20	1498	255	300	52	897	57
693	737	144	145	1052	1190	215	237	516	74
366	249	74	52	515	401	106	85	757	127
657	929	139	195	910	1182	193	249	974	258
330	1	64	0	478	147	94	29	7	271
1213	237	233	51	1415	387	278	84	784	294
1213	238	233	48	1527	514	300	107	784	299
333	578	68	121	523	736	107	153	184	331
1213	257	233	57	1415	411	278	91	784	360
56	1311	9	272	183	1439	35	298	458	383
108	445	22	92	271	611	54	125	743	456
679	989	134	204	987	1284	197	266	141	478
827	644	154	129	1508	1357	300	280	81	497
1213	1074	233	209	1415	1224	278	242	784	503
208	716	41	153	577	1027	118	217	115	545
