b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
1267	1024	266	209	1430	1184	300	242	7	1639
1	209	0	45	249	473	49	98	7	4011
1	740	0	160	152	891	34	194	8	1347
1	1184	0	242	126	1436	28	296	8	1639
1	880	0	187	152	1145	34	246	8	1670
157	237	27	49	624	728	122	156	44	641
1135	1073	215	232	1469	1398	282	297	80	667
555	1248	110	254	789	1468	160	300	91	429
789	1	160	0	893	145	183	31	91	430
811	969	162	200	992	1156	199	239	125	2843
375	608	75	125	945	1127	187	236	151	2560
410	1252	84	261	595	1437	123	300	163	4712
347	813	70	164	516	968	102	193	164	4615
1033	278	209	59	1268	537	261	116	167	3353
1218	362	230	78	1516	581	288	125	243	3151
231	1	50	0	468	284	101	61	244	54
1	650	0	134	182	853	37	174	263	5210
