b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
607	703	131	142	883	954	189	196	43	306
958	498	191	99	1334	1159	263	228	60	130
717	460	142	93	1043	773	206	153	307	132
382	799	77	151	1015	1465	207	281	367	97
953	792	194	162	1470	1339	300	273	367	144
718	647	145	122	1357	1319	270	252	561	55
179	525	37	99	1119	1431	232	292	577	86
585	775	120	154	759	956	154	189	578	95
480	640	97	130	819	1115	160	222	579	101
256	539	50	109	771	1296	153	261	580	119
433	1201	85	235	779	1527	155	300	582	140
358	1362	73	263	539	1517	110	295	592	41
870	261	173	52	1084	502	219	104	622	241
608	737	123	146	1183	1302	232	251	629	143
1350	60	265	11	1474	184	291	37	630	193
