b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
95	708	20	145	447	1075	94	223	31	155
1112	531	225	114	1416	1028	289	215	81	186
466	831	98	163	986	1453	217	298	84	224
716	287	151	57	900	508	192	103	88	101
496	266	99	53	1044	576	205	115	103	92
678	44	141	8	1251	654	258	130	104	123
1052	978	221	197	1445	1393	300	281	107	67
412	700	86	146	802	1035	165	213	111	143
812	381	165	82	981	562	201	118	116	100
175	64	36	12	472	326	95	66	116	101
885	949	186	190	1364	1416	284	286	117	74
1	1200	0	242	227	1471	46	297	118	61
231	1	47	0	655	468	138	100	118	62
356	559	77	112	789	990	165	198	127	112
293	168	61	32	724	615	152	128	130	128
877	632	181	130	1444	1167	300	238	132	177
1224	400	257	82	1349	525	285	110	178	128
1059	183	224	31	1425	562	300	109	186	196
1	541	0	105	219	763	48	153	187	196
302	1240	59	230	457	1388	92	261	193	24
238	774	45	158	681	1140	130	232	196	194
94	913	18	194	392	1209	80	260	198	213
300	454	66	88	619	767	128	149	210	218
125	260	24	52	496	656	106	139	211	211
816	9	168	1	1318	506	267	100	221	218
521	1003	111	207	754	1215	164	254	233	128
252	424	52	88	708	875	146	181	266	131
779	130	168	22	1023	414	219	79	458	166
1061	211	212	43	1468	587	300	123	488	170
1051	312	210	60	1437	708	294	146	488	189
