b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
784	903	153	164	1338	1346	263	249	657	4
1211	152	241	27	1500	387	300	76	6461	437
1	401	0	80	230	627	52	130	6462	437
201	822	40	154	782	1263	159	239	441	553
413	1174	76	227	559	1326	104	256	5220	657
150	306	27	62	552	737	108	149	2460	990
290	772	53	147	409	908	75	172	2648	1461
633	1149	128	229	942	1396	187	276	777	1638
1088	799	213	167	1223	931	241	195	5940	1996
1042	916	206	171	1396	1228	282	238	6171	2081
1220	576	239	116	1542	926	300	184	6958	2089
839	1331	159	246	1099	1586	214	300	5059	2090
340	994	63	195	501	1375	96	270	548	2117
340	760	69	155	547	968	111	198	1393	2598
49	689	8	128	569	1292	102	239	6925	3415
126	251	22	50	429	526	78	101	1175	3660
800	1016	166	206	960	1165	198	237	807	4042
1082	723	223	137	1226	1115	252	218	2029	4138
