b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
111	959	23	196	610	1179	129	244	5212	34
1135	848	229	182	1351	1150	277	248	5353	40
67	822	15	176	633	1237	132	266	5354	40
1093	232	234	48	1410	596	300	123	5037	55
284	123	60	25	680	511	142	105	5038	55
911	1084	186	213	1241	1293	256	256	5085	62
110	1084	23	213	825	1396	168	277	5086	62
1	1029	0	215	367	1378	77	289	5818	79
811	850	162	171	1180	1240	240	252	6081	93
39	988	8	199	516	1240	108	252	6082	93
13	464	2	95	885	1070	184	218	2257	103
791	27	163	5	1301	413	262	77	2255	104
338	216	69	46	998	665	200	141	3585	108
50	437	12	93	696	807	138	166	3722	109
880	1	174	0	1340	480	275	97	1529	111
1	756	0	148	127	883	27	176	5952	114
814	1404	162	264	1179	1499	234	284	2479	156
1085	760	221	172	1358	1033	281	231	2441	157
128	794	27	180	377	1017	82	229	2442	157
558	1003	110	199	746	1182	149	237	2443	163
