b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
1450	732	269	139	1635	917	300	170	110	534
533	397	96	73	896	759	169	146	122	549
166	731	30	141	471	1046	89	202	140	549
7	421	1	80	199	613	37	116	446	651
6	513	1	88	232	743	43	130	169	682
1106	756	212	132	1364	1014	259	179	185	705
1117	18	214	3	1364	265	259	48	185	707
1117	101	214	15	1423	417	270	71	185	709
1	666	0	112	147	812	27	139	187	712
946	785	182	144	1304	1143	247	209	192	715
855	1185	152	210	995	1325	180	238	477	828
1	302	0	60	514	815	97	157	223	877
682	815	133	157	852	985	165	189	231	877
72	480	15	88	223	624	42	113	470	1106
1	1329	0	250	261	1589	50	300	223	1370
261	1	50	0	521	261	98	48	223	1371
26	294	5	44	249	517	42	81	246	1418
1282	383	239	67	1577	678	300	128	253	1435
44	725	8	138	431	1112	96	226	260	1435
285	1	55	0	581	297	106	51	276	1471
840	834	160	156	1386	1380	256	252	279	1480
1103	1	218	0	1241	139	245	27	293	1493
99	1442	18	261	325	1668	57	300	303	1517
438	1120	74	198	789	1569	141	284	303	1518
1162	535	231	97	1421	795	280	147	305	1553
216	1419	40	260	422	1625	80	300	323	1630
422	1	80	0	686	264	126	46	323	1631
852	143	174	27	1303	558	271	114	337	1643
1140	1189	211	191	1618	1658	300	277	343	1657
400	1336	75	218	780	1723	144	287	348	1657
697	18	134	3	991	313	186	56	365	1760
639	174	122	34	1261	548	239	109	423	1980
212	195	42	36	396	383	74	69	440	2278
7	611	1	115	191	795	36	150	446	2296
458	430	84	81	742	715	136	134	446	2371
498	213	96	43	1293	1336	239	241	465	2601
4	825	1	158	326	1117	67	218	508	3205
561	1154	108	212	759	1338	152	253	547	3832
788	380	149	74	1191	885	222	166	555	3851
1007	1265	187	226	1275	1534	236	276	557	3878
1	1295	0	240	277	1571	52	292	560	3880
322	1116	62	207	650	1445	123	269	569	4308
882	1424	160	275	1017	1559	185	300	574	4311
738	440	144	78	1174	820	223	146	600	5003
636	536	117	99	904	805	165	148	608	5045
1044	763	195	141	1574	1320	300	251	608	5048
1	1320	0	251	240	1558	48	298	609	5048
102	722	20	118	727	1324	135	231	611	5056
236	714	44	117	575	1035	103	174	613	5056
1127	1061	217	204	1305	1239	249	236	626	5131
