b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
1142	445	208	83	1268	570	233	108	1005	16
258	314	44	61	714	787	134	153	981	67
559	808	108	158	1049	1013	206	201	986	80
647	68	125	12	953	386	182	70	134	141
1130	851	214	162	1251	1005	237	192	134	142
313	1143	62	223	613	1575	117	300	1615	218
956	721	180	135	1261	1142	234	212	664	225
116	721	21	135	456	1177	81	218	957	225
375	25	66	5	547	599	97	110	957	226
1319	25	244	5	1504	954	278	180	1320	226
1246	25	233	5	1431	954	267	180	1399	226
1350	1105	267	225	1515	1380	300	279	1787	239
813	764	170	142	964	915	198	170	1223	282
413	1359	79	260	588	1534	108	289	814	353
597	1	121	0	827	231	167	46	44	397
8	1110	2	222	225	1326	44	264	1362	449
957	69	183	12	1144	256	215	44	1186	465
715	397	136	73	864	546	163	100	777	468
68	1114	12	207	211	1257	38	233	1187	471
715	1385	148	253	980	1623	200	299	661	494
50	245	10	48	302	498	57	95	1606	520
340	1	62	0	619	280	113	51	1606	522
1078	236	204	43	1267	425	240	79	1100	527
579	905	124	173	777	1085	164	210	23	531
610	438	131	85	777	640	164	126	23	532
1346	228	249	42	1599	531	297	98	908	603
1429	951	275	177	1550	1087	298	203	926	608
1337	42	263	8	1472	240	290	49	21	710
496	1179	98	228	695	1378	137	267	888	750
580	153	103	27	801	333	141	59	1146	793
734	281	138	59	918	464	172	93	1534	823
852	434	172	82	988	785	197	149	1532	865
1	378	0	71	126	503	25	96	777	905
576	580	107	115	728	732	136	144	1622	921
1335	151	258	30	1478	297	285	58	12	991
1351	1090	263	197	1548	1286	300	234	812	1025
109	610	19	117	284	834	52	159	813	1027
284	293	52	58	488	497	91	97	813	1028
715	880	136	167	978	1300	182	240	452	1277
1112	17	207	3	1346	252	250	47	452	1279
719	1390	156	268	894	1565	185	297	685	1279
382	1	73	0	670	397	128	78	1048	1309
567	308	108	56	817	549	161	107	919	1350
835	778	169	151	1144	1086	232	214	334	1507
409	743	80	149	600	1101	115	215	1516	1516
857	1403	168	276	977	1523	192	300	1101	1530
977	1	192	0	1092	116	215	23	1101	1531
1140	767	216	150	1436	1239	275	240	1519	1566
609	1154	113	224	795	1340	150	261	1719	1577
885	1340	158	254	1047	1503	191	287	1472	1784
4	137	1	25	224	357	42	66	200	1800
319	147	61	29	445	273	86	54	1149	1956
