b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
1029	407	208	81	1267	670	260	137	312	653
1172	1364	241	268	1337	1508	277	300	430	736
1	102	0	23	437	683	82	130	431	737
1129	772	235	158	1362	1003	284	206	210	1161
1053	1039	215	199	1423	1390	292	269	211	1171
9	256	1	46	357	605	72	118	302	1529
5	496	1	87	117	611	26	113	432	2513
359	1326	72	233	503	1467	99	260	93	3019
1063	788	217	145	1476	1032	300	194	274	3033
712	1250	147	238	942	1477	194	286	259	5182
1161	111	235	24	1397	359	284	75	259	5183
923	1177	193	212	1195	1464	249	272	97	6285
913	99	185	18	1177	315	239	62	317	6653
168	356	36	67	370	559	76	106	113	6846
173	39	37	8	344	339	71	66	113	6850
