b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
741	96	147	21	1135	524	229	110	34	7
1	509	0	105	224	734	43	149	715	14
582	824	126	177	944	1039	203	221	1664	15
32	121	7	25	220	312	49	67	753	16
1	300	0	67	281	641	57	135	764	17
367	1	69	0	817	548	157	113	101	19
55	182	9	36	347	343	61	67	102	19
710	495	138	101	1102	871	215	176	104	19
168	661	29	136	750	1082	141	222	105	19
690	556	128	115	1001	856	189	174	105	23
1123	43	227	10	1449	449	300	100	26	40
1	869	0	180	192	1021	38	211	1156	56
702	319	147	71	1069	675	235	155	39	62
691	661	139	136	1181	1170	238	239	65	69
832	157	166	34	1344	872	270	184	89	75
326	773	68	168	662	1129	136	240	92	77
445	49	83	10	579	183	109	36	151	120
1171	447	229	96	1519	839	300	176	373	121
13	470	2	101	717	996	146	208	375	121
770	1051	147	227	1153	1406	222	300	207	129
367	1035	76	227	623	1293	128	279	157	133
950	806	192	175	1167	1030	237	221	183	136
1084	404	213	85	1330	646	263	133	185	151
43	958	7	211	204	1134	37	245	201	155
1326	857	254	183	1510	1133	292	240	331	160
405	271	74	60	602	600	116	129	228	162
821	832	155	177	1366	1448	263	300	229	162
22	1009	4	214	572	1321	115	274	230	162
420	328	79	70	783	819	154	175	250	165
883	1093	178	239	1078	1274	216	274	283	171
1135	159	225	35	1371	419	276	91	297	193
100	275	21	60	244	419	52	91	298	193
931	68	188	13	1125	387	224	74	307	194
919	819	168	168	1508	1343	284	271	304	195
754	522	140	114	1162	977	220	205	295	200
788	344	145	76	996	556	185	117	334	206
1007	458	215	94	1183	681	250	140	383	224
123	313	24	67	492	690	99	148	345	236
760	1008	146	219	1169	1411	227	300	403	248
74	1249	13	267	589	1401	118	298	404	248
672	337	133	69	1171	980	229	195	373	257
888	125	180	25	1273	748	256	144	375	260
4	129	1	26	482	748	92	144	376	260
398	51	74	11	1073	464	212	97	291	268
553	951	116	205	1056	1427	217	300	416	285
1009	225	210	49	1446	731	297	150	430	293
744	800	145	169	1039	1160	204	242	409	295
334	800	66	169	713	1160	143	242	410	295
57	44	11	11	334	340	66	70	410	295
951	47	177	12	1456	340	276	70	411	295
775	537	152	114	1510	1260	297	258	409	296
1079	773	217	163	1441	991	291	206	410	296
16	983	3	204	571	1124	107	232	411	296
807	865	156	182	1350	1410	263	299	457	299
617	394	123	76	823	592	168	118	470	322
1159	1234	231	261	1337	1400	271	299	506	330
465	922	84	201	877	1309	172	281	528	332
1	495	0	108	206	703	41	150	529	332
931	1037	182	222	1173	1254	232	267	566	358
7	871	1	176	672	1510	133	300	576	362
338	977	69	197	854	1510	169	300	578	362
889	329	177	68	1400	778	278	159	576	363
