b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
1	66	0	12	1237	1448	257	300	27	1006
1237	1	257	0	1467	396	300	73	27	1007
924	271	178	55	1430	738	280	149	92	1271
1	823	0	169	174	986	34	201	128	1013
5	731	1	147	617	1349	128	274	175	1071
210	7	43	1	648	409	133	86	184	1073
513	287	90	60	770	515	147	110	190	1573
289	804	51	159	642	1094	124	218	244	857
1	621	0	127	185	784	39	162	265	113
131	914	25	185	417	1179	86	240	269	858
130	1109	25	230	442	1434	92	300	270	1672
454	1	95	0	738	257	155	53	270	1673
425	103	91	20	591	273	126	56	272	858
846	308	167	59	1193	583	239	117	278	901
654	653	131	134	1358	1465	281	300	299	334
308	1062	59	211	728	1481	149	300	384	948
728	1	149	0	1496	755	300	148	384	949
1	755	0	148	748	1553	143	300	385	949
748	1	143	0	1112	382	211	73	385	950
226	90	40	19	1467	1464	292	298	394	390
1	120	0	23	864	890	178	182	395	391
454	516	86	105	775	837	151	170	408	194
425	1079	82	225	761	1414	154	298	411	1189
641	24	125	4	1183	582	237	120	435	507
947	884	182	175	1456	1504	284	300	457	486
290	206	57	44	570	514	113	106	463	1692
1	1041	0	200	362	1362	70	261	470	487
640	980	120	200	1047	1410	198	284	471	490
640	200	120	38	1047	738	198	146	471	491
298	463	60	91	456	640	95	130	473	500
1096	1191	219	251	1370	1434	274	300	481	1635
1222	702	243	145	1500	1129	300	237	482	834
1357	1000	269	206	1506	1177	300	243	483	802
767	596	145	120	1336	1065	269	220	485	1673
1	970	0	205	216	1165	47	247	488	1674
521	953	107	190	730	1165	146	229	494	448
1265	245	243	50	1545	526	300	108	519	557
433	45	83	8	632	256	124	52	520	335
1	526	0	108	692	1076	136	217	520	557
59	732	11	146	661	1358	131	273	525	1506
67	795	13	160	401	1197	83	247	566	774
1	280	0	59	447	697	95	149	570	1573
366	1	68	0	1458	1070	300	228	571	1357
1	122	0	27	359	466	75	100	623	1682
502	81	104	16	1045	571	214	116	623	1686
966	1185	197	226	1271	1512	261	293	624	1680
31	820	6	165	455	1129	93	228	624	1686
356	523	74	105	1413	1483	290	300	629	1683
51	226	10	43	509	654	106	132	629	1683
16	173	3	38	343	466	72	100	648	1682
