b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
987	588	196	109	1209	821	238	152	8	103
987	835	196	161	1204	1050	237	201	8	363
965	660	186	126	1244	1096	235	204	20	1723
679	775	127	150	850	1061	165	212	22	93
919	409	183	80	1211	767	244	157	175	1452
863	430	166	84	1122	683	218	135	176	1265
1	1307	0	266	129	1431	24	289	178	1371
722	1158	137	236	1018	1404	197	288	614	1208
1031	1278	200	242	1344	1590	258	299	614	1210
1253	61	244	12	1568	324	298	58	614	1211
788	1161	160	226	1110	1539	222	299	618	1211
1110	16	222	3	1533	768	300	146	618	1212
588	1	120	0	815	233	166	47	618	1230
312	1322	59	274	448	1447	87	300	622	955
312	405	59	82	478	557	95	115	622	1188
312	766	59	157	478	918	95	190	622	2770
216	270	45	54	410	540	83	109	624	2456
1051	1050	220	211	1312	1274	274	259	639	2971
179	716	37	139	579	1161	122	230	683	2429
745	839	144	164	959	1057	186	207	748	1500
1237	504	235	96	1446	728	277	142	942	2718
1064	1099	209	222	1355	1385	261	274	998	2706
1232	1144	247	234	1387	1318	282	271	1031	2713
1361	1002	257	201	1547	1205	292	240	1619	2314
