b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
423	813	84	160	831	1466	168	295	166	51
992	1166	203	241	1268	1461	261	300	860	82
1268	1	261	0	1446	169	294	31	860	83
182	169	35	31	841	818	163	158	861	83
144	1180	25	236	378	1403	73	282	941	81
86	1080	17	207	764	1539	153	299	1005	39
775	5	155	1	1413	698	283	141	1005	40
17	698	3	141	881	1477	179	298	1006	40
945	1	193	0	1417	273	290	59	1006	41
294	314	61	65	1020	974	210	199	1007	41
305	1261	62	239	601	1494	126	289	1204	143
19	944	3	187	295	1174	62	238	1205	144
374	399	72	78	989	973	193	191	1226	2
293	341	55	69	1551	1495	300	294	1531	52
32	1	6	0	262	225	53	46	1532	53
429	584	84	112	660	821	124	153	1604	25
1332	497	260	99	1535	723	299	144	1687	10
70	769	11	152	235	935	45	185	1688	10
