b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
316	153	61	33	792	624	160	133	1435	155
322	62	65	13	487	243	102	54	2169	260
1172	132	233	28	1292	253	257	52	1223	432
1320	545	265	106	1452	666	293	132	166	447
160	1007	32	207	1051	1301	208	270	1197	788
328	518	62	106	542	733	108	152	695	910
252	990	53	206	569	1235	119	257	522	1037
683	1027	128	208	835	1172	160	238	980	1085
693	1	131	0	835	136	160	27	980	1086
1089	558	211	112	1450	995	286	202	1407	1132
1011	513	203	105	1279	760	256	153	1797	1378
296	1109	64	232	608	1416	134	300	2098	1405
296	233	64	52	625	561	138	128	2098	1406
151	1196	30	249	600	1428	127	300	634	1474
604	1	128	0	761	162	159	32	634	1475
878	433	174	87	1251	1186	248	234	810	1566
376	388	74	79	647	655	131	135	1894	1603
549	78	108	17	808	255	159	53	822	1807
584	342	115	67	748	496	150	99	2173	1867
287	796	57	168	649	1133	132	240	559	1895
963	149	190	30	1338	696	265	142	1596	1943
1048	148	208	28	1250	349	245	66	2191	2002
130	846	22	166	462	1136	87	221	825	2198
999	278	202	56	1409	725	281	143	849	2203
274	526	56	114	679	719	141	155	629	2250
689	1107	140	223	854	1293	173	261	1987	2394
249	632	45	129	624	1027	119	206	622	2801
478	1	89	0	1082	232	213	50	1380	2885
513	1	100	0	679	197	131	37	1996	3203
1074	595	205	122	1189	980	226	198	1220	3476
9	1247	2	259	278	1456	55	300	561	3501
651	972	129	196	1277	1540	248	300	1558	3686
1282	6	249	1	1508	235	291	44	1558	3687
446	716	80	145	704	956	131	192	337	3761
222	571	45	120	599	1104	127	234	473	3860
333	558	72	117	493	721	106	152	1608	3860
729	1222	138	267	976	1367	192	300	1848	3888
390	1133	81	236	609	1352	127	281	1626	3969
479	1007	99	211	723	1250	148	261	2194	4149
1204	682	220	136	1609	1428	296	276	1029	4159
16	120	4	22	259	424	51	84	1030	4160
331	283	63	55	636	573	130	119	1921	4399
784	717	149	149	1263	916	248	190	674	4534
197	760	43	158	559	1172	118	243	1529	4565
238	218	51	45	583	527	122	106	1529	4566
290	1358	53	261	433	1488	82	289	1975	4696
90	231	18	49	474	857	93	173	924	4700
