b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
396	283	73	56	728	856	140	163	3884	3
91	697	16	167	368	1194	74	270	923	4
296	1052	55	204	725	1460	144	290	2121	7
1	1052	0	204	433	1460	90	290	3964	7
15	1	3	0	326	402	62	79	4034	8
1	441	0	90	278	1030	49	214	4904	8
457	423	88	86	773	1030	147	214	6461	8
333	161	62	35	581	337	114	74	6316	16
137	368	24	76	949	708	184	148	636	29
651	1	130	0	843	162	168	33	628	30
679	420	133	86	1474	1087	292	223	656	30
1311	420	246	86	1564	690	300	146	765	30
387	695	78	147	721	1087	142	223	766	30
778	133	147	28	1183	614	227	124	840	34
1	771	0	167	319	1066	59	221	968	35
101	841	21	165	237	982	47	193	1172	37
819	758	161	161	1552	1474	300	298	1702	42
550	367	103	79	768	568	148	124	1818	43
130	414	25	81	470	722	93	142	1826	44
124	1167	22	249	336	1337	67	287	569	46
363	899	69	190	489	1036	97	220	2440	46
694	563	136	112	1320	1103	264	221	2494	48
187	59	36	15	524	510	108	112	5659	49
876	632	157	129	1033	760	189	157	3361	51
1	1228	0	258	188	1415	42	299	2943	52
210	1090	40	229	483	1340	96	281	4529	52
589	846	107	173	795	1039	146	211	3641	56
251	101	46	23	519	435	100	90	3708	57
1	1275	0	265	110	1443	22	300	2297	58
1226	1133	243	235	1466	1443	292	300	6936	58
1	42	0	8	126	169	26	35	6937	59
1368	115	253	24	1589	331	298	69	4904	60
1199	943	240	196	1492	1220	300	252	464	61
606	170	116	35	812	363	159	77	4970	61
404	384	76	78	738	702	144	144	5178	62
1111	992	242	200	1335	1237	292	254	5680	63
778	1118	153	225	1168	1471	233	298	5858	64
1336	30	255	7	1560	273	300	55	5874	65
1	273	0	55	479	547	97	109	5875	65
512	472	102	97	756	680	154	142	5966	66
298	532	59	111	424	661	85	138	6408	70
669	869	134	174	950	1228	194	247	6950	72
737	503	144	103	921	686	179	139	6420	73
143	28	27	5	331	269	64	54	6840	76
902	554	182	114	1210	874	241	176	555	78
496	552	99	119	655	672	132	144	5774	80
1488	772	267	158	1659	921	300	188	4368	82
1	921	0	188	219	1149	42	233	4369	82
814	715	162	145	1186	1144	240	240	3398	97
469	119	88	23	673	299	131	63	330	102
223	467	41	95	396	624	74	126	6277	115
29	1001	4	209	411	1369	88	291	5963	120
524	1022	99	208	986	1466	193	300	553	131
268	326	56	64	510	508	109	104	5918	133
1140	308	211	69	1461	673	276	144	4140	136
140	145	26	30	372	381	75	81	1394	139
486	115	101	23	767	386	160	82	6954	139
404	740	76	155	738	1067	144	222	5178	142
1	368	0	80	288	664	56	137	5598	142
150	1227	30	250	246	1323	51	271	1441	148
1117	102	199	24	1441	411	264	88	4242	148
552	33	100	7	806	249	151	50	2327	162
66	33	12	7	264	207	52	42	3737	162
1069	599	194	133	1539	1130	291	241	3005	173
225	1237	44	247	334	1346	67	270	3853	181
813	376	160	77	1433	1227	286	245	5972	181
976	1100	187	238	1156	1258	224	270	2141	182
980	21	174	4	1174	181	213	35	5511	184
116	413	24	87	258	542	53	114	3238	188
243	70	45	16	418	229	83	51	2566	193
373	144	68	30	755	340	144	71	1675	194
1	468	0	106	222	1039	41	220	6899	196
813	839	160	170	1189	1266	242	263	6952	206
14	1125	2	240	306	1410	64	300	5453	214
1	500	0	106	441	923	88	190	6959	221
921	121	177	24	1315	575	253	112	6845	230
293	5	58	2	489	195	97	39	6349	245
540	665	110	140	792	899	160	187	1278	255
608	657	118	136	990	1023	196	211	6576	257
1006	817	202	182	1190	967	241	214	5329	258
1336	205	256	46	1519	376	295	82	652	278
361	1170	61	256	584	1388	106	300	786	278
1092	1170	223	256	1324	1388	270	300	4712	278
852	280	155	60	1093	518	197	104	940	280
728	1008	130	213	1061	1327	199	280	1300	280
1349	864	261	169	1528	1187	299	236	6668	288
931	907	171	201	1203	1056	225	232	1661	294
1291	594	245	135	1518	803	292	178	5335	294
1	605	0	138	216	803	44	178	6288	294
697	209	133	45	1069	599	212	128	3143	295
1275	467	239	111	1551	1047	292	232	1492	296
1244	490	235	114	1408	642	272	150	2987	301
25	1049	5	236	142	1185	30	266	1376	302
948	853	174	192	1179	1092	222	244	1644	303
204	583	40	124	477	882	94	184	2344	349
82	857	15	175	308	1052	58	213	45	370
1203	713	241	147	1384	993	278	207	4984	376
903	219	173	43	1414	802	278	164	4515	380
1213	659	227	131	1610	1018	300	196	5593	383
1240	1114	243	223	1521	1435	300	289	2362	385
880	676	175	132	1394	1139	281	228	2477	385
461	1340	87	270	594	1472	112	295	2479	385
689	84	132	18	1186	286	234	61	2320	394
982	1063	189	228	1160	1250	226	267	2370	395
1384	1	264	0	1570	191	300	37	1284	402
1	193	0	38	116	312	22	62	1285	402
177	520	36	111	607	758	124	164	5541	409
1446	374	277	81	1562	491	300	105	589	411
1241	329	249	70	1479	560	296	117	5658	411
1414	1092	279	236	1508	1189	300	258	4720	417
1	1189	0	258	160	1358	32	293	4721	417
445	635	85	139	694	894	137	195	2975	419
1162	6	219	1	1555	397	300	83	6288	424
1	397	0	83	181	538	35	111	6289	424
882	5	184	1	1395	771	289	162	5847	426
264	366	48	78	480	583	95	125	2397	429
199	310	36	67	485	583	97	125	3122	429
374	1007	68	208	691	1325	134	273	3972	440
1216	653	225	132	1437	856	272	175	6185	440
223	160	45	34	439	398	89	84	2148	441
1034	728	206	155	1366	1027	272	215	6343	445
1038	114	198	27	1328	351	263	81	325	447
1179	418	235	90	1368	585	276	127	6005	472
327	19	62	4	600	320	120	69	3486	474
723	1010	134	219	929	1201	177	260	1410	475
1431	1036	262	225	1609	1235	298	268	2579	475
1384	1	257	0	1589	189	298	37	4904	485
1273	90	247	17	1536	468	300	89	2376	493
897	364	175	73	1235	685	249	144	2523	495
251	697	46	146	616	1034	124	217	2524	495
825	802	163	164	1067	1062	214	219	3460	499
145	422	27	78	269	553	55	109	4498	499
1	855	0	176	316	1062	62	219	6833	499
748	949	141	206	1002	1184	192	255	2728	501
1139	260	221	58	1491	850	292	183	6186	501
568	686	112	152	1239	861	234	186	6066	502
32	777	7	159	234	1134	46	225	1424	506
874	510	159	110	1299	1230	241	245	2942	506
1220	606	217	130	1549	904	286	192	5923	508
1330	1	271	0	1467	158	300	34	2211	509
1	32	0	8	430	566	86	113	5102	513
43	32	7	8	668	296	130	59	6922	513
525	1100	113	227	894	1469	185	300	3162	515
1368	644	265	136	1526	793	300	169	4821	537
525	709	103	139	1140	918	219	176	2302	540
11	1098	2	216	258	1378	55	276	4601	542
587	187	106	39	1011	497	189	101	5493	544
937	671	182	143	1241	998	245	212	5488	545
815	372	156	73	935	579	181	118	2218	546
1147	1	214	0	1509	471	289	94	668	548
483	781	89	165	676	1019	127	216	227	554
565	1330	103	268	738	1471	142	300	4473	556
804	268	153	56	943	421	177	83	5494	556
15	851	3	194	292	1137	57	251	3650	557
614	851	128	194	819	1088	168	242	3960	557
941	1006	178	220	1172	1232	227	269	6048	559
427	971	76	192	644	1177	116	231	4688	560
10	1	1	0	237	218	45	43	2219	565
815	9	160	2	1009	218	198	43	6622	565
908	504	176	111	1208	895	235	192	225	569
584	1219	120	255	750	1421	152	296	832	578
385	875	71	175	1069	1494	201	298	3858	585
76	742	15	161	248	882	51	190	515	588
1	315	0	67	247	556	52	121	3025	593
1106	935	222	198	1480	1376	300	292	2554	595
1028	464	191	100	1252	780	240	166	1897	611
891	571	179	128	1165	878	240	204	4260	612
1161	663	222	145	1491	1393	293	300	4443	614
285	129	57	31	391	239	78	53	2305	615
59	1086	12	219	414	1462	85	300	6559	616
414	1	85	0	1110	999	224	202	6559	617
364	1135	71	234	578	1347	114	278	6580	617
1190	235	239	54	1375	492	277	107	6559	618
424	13	84	4	904	584	183	125	6579	618
846	13	164	4	1035	245	206	56	6860	618
1401	636	262	138	1584	814	300	175	796	620
871	71	166	15	1535	663	300	136	515	627
1	422	0	86	196	789	42	163	516	627
676	282	133	61	1023	607	201	127	5917	632
845	213	165	45	1463	932	288	192	5846	641
770	505	144	109	1027	750	196	158	5361	647
947	1021	181	217	1452	1413	284	294	4941	649
1258	66	252	13	1498	279	300	55	5842	665
406	842	78	187	772	1182	159	264	2461	677
454	1061	86	216	641	1212	127	250	4579	683
97	128	19	26	707	827	137	163	784	684
