b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
159	1099	26	223	392	1474	76	299	197	54
159	838	26	169	392	1205	76	242	197	55
159	495	26	101	985	1229	199	250	197	57
1157	405	237	86	1455	720	299	151	655	102
1	137	0	29	190	405	43	88	656	103
249	1133	47	239	493	1361	94	284	1169	103
393	786	82	162	851	1380	180	288	461	104
420	884	81	187	975	1442	195	300	1093	113
923	208	184	45	1456	709	300	156	1096	122
596	937	118	195	862	1209	173	251	1147	194
6	1076	1	221	161	1210	31	246	356	252
24	527	5	106	928	1457	193	300	477	265
244	639	49	133	807	1216	164	250	478	266
139	5	27	1	375	244	77	53	821	281
43	554	9	115	287	814	61	173	578	313
1	883	0	181	555	1472	109	297	570	335
