b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
387	529	72	100	524	667	99	127	31	170
1382	1513	254	268	1549	1680	286	300	35	197
1320	387	258	68	1525	603	299	111	37	207
1340	1304	260	250	1517	1511	292	287	45	252
261	788	55	155	410	941	82	182	57	290
729	1099	140	192	1044	1415	200	251	67	314
960	379	188	69	1247	574	242	105	77	347
1047	931	200	174	1632	1150	300	210	80	356
1299	110	242	20	1604	414	295	73	80	361
76	608	14	114	318	1272	55	233	84	364
774	1	150	0	1033	189	199	38	85	373
393	74	76	14	697	808	131	147	87	375
1278	121	245	21	1552	621	293	110	88	380
160	264	30	47	754	1014	146	196	97	406
380	903	70	171	649	1171	121	221	104	425
122	541	23	109	455	712	83	137	106	428
531	1434	97	267	696	1606	129	300	113	451
626	739	121	147	877	992	168	194	114	457
496	1	96	0	865	208	167	39	116	464
887	706	170	127	1139	1294	218	239	118	470
170	706	33	127	556	1226	107	228	119	470
714	595	139	104	1085	1165	206	213	121	476
1156	835	225	155	1539	1031	300	195	129	493
227	406	43	70	714	789	131	141	148	523
270	1284	47	244	417	1431	74	271	152	528
425	21	75	3	686	216	120	35	152	532
556	281	113	59	930	726	187	145	159	540
121	611	22	114	403	869	76	162	161	543
52	734	9	138	318	886	60	167	164	546
371	574	75	110	538	1013	107	192	167	553
419	822	76	154	670	1126	124	212	170	563
718	1032	131	192	981	1294	177	238	177	581
366	307	69	59	619	561	114	104	182	592
469	1209	93	223	733	1473	143	273	183	594
944	851	181	168	1309	1357	252	269	184	596
506	250	94	48	1574	1156	300	218	184	598
1	740	0	136	185	925	34	170	185	600
984	836	180	155	1471	1337	269	244	186	602
1043	460	197	84	1221	638	227	114	188	607
685	727	126	133	1098	1143	205	212	189	608
391	934	72	184	1069	1261	211	250	199	627
870	1153	169	222	1025	1309	201	254	199	631
804	906	153	174	1105	1206	213	234	202	634
1094	933	213	187	1327	1169	256	229	218	672
1222	879	235	167	1372	1029	262	194	222	674
1372	1254	262	239	1567	1449	299	276	222	675
41	608	7	119	336	890	65	180	228	680
714	251	133	49	1045	418	196	82	229	683
118	1086	22	221	534	1501	102	300	239	695
534	1	102	0	873	341	165	62	239	696
656	734	129	138	1130	933	222	176	243	700
65	357	11	68	198	490	37	94	262	735
191	212	36	38	358	383	65	68	262	738
673	31	142	6	1017	374	209	72	266	748
538	634	99	119	1299	1407	247	271	286	710
119	268	23	48	740	554	141	105	289	797
1	40	0	7	144	183	31	38	290	801
507	161	102	25	977	888	192	168	317	853
222	79	44	16	389	244	74	45	318	856
39	343	8	60	547	883	105	166	319	857
1106	180	211	33	1570	700	298	132	335	898
1179	1111	235	204	1488	1489	300	283	338	903
1	177	0	34	293	533	61	110	345	913
