b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
1263	723	251	142	1402	898	280	180	2884	78
396	130	82	26	530	265	106	50	2884	136
240	313	50	61	639	934	129	183	2885	22
833	685	164	133	982	869	196	172	2943	87
796	649	164	129	967	763	201	154	2966	49
796	340	164	69	967	744	201	151	2966	119
1358	353	267	72	1514	562	300	115	3060	125
932	153	183	29	1078	448	210	85	3687	91
1106	523	216	98	1298	712	254	135	3687	98
137	118	29	22	343	272	65	49	3688	108
388	1278	74	236	520	1451	103	273	3819	85
335	503	59	97	1170	1273	223	245	3918	73
