b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
342	189	66	36	503	420	96	81	200	1
625	231	120	44	1571	1476	300	287	1804	101
395	725	76	136	1160	1450	221	278	2151	119
858	817	159	156	1158	1059	222	208	2152	122
368	270	70	54	786	843	153	167	2153	123
552	531	111	110	1190	1479	240	300	2163	121
1190	1	240	0	1496	470	300	91	2163	122
1	470	0	91	293	787	57	150	2164	122
190	923	37	178	591	1397	115	270	2239	131
644	455	124	88	935	759	181	148	2239	132
1017	30	195	5	1549	824	298	158	2239	133
145	885	30	182	542	1231	107	249	2240	135
531	222	105	47	1073	1009	215	204	2240	136
1172	23	236	4	1463	295	290	54	2240	138
75	1246	14	227	201	1371	37	250	2241	138
88	677	17	130	780	1553	144	293	2242	145
718	412	134	82	1280	1094	251	225	2242	146
1	430	0	84	268	704	51	137	2244	147
24	799	4	155	606	1442	119	287	2245	147
594	489	116	95	1357	919	266	180	2245	148
1	1071	0	212	458	1504	92	300	2246	148
1162	41	236	8	1484	274	300	56	2246	149
1	274	0	56	1177	1269	233	257	2247	149
555	723	107	144	943	1557	181	300	2249	151
421	202	83	39	1007	1005	206	205	2250	152
659	396	127	76	1046	1120	203	219	2257	156
1332	1318	259	249	1531	1541	300	294	2257	157
38	1	6	0	689	634	127	116	2258	158
323	870	61	164	952	1594	185	300	2259	158
952	1	185	0	1493	483	292	94	2259	159
683	545	139	105	1555	1332	300	250	2260	159
930	149	179	29	1113	342	210	61	2262	160
1052	749	203	133	1542	1349	300	249	2265	160
1	1349	0	249	458	1623	86	300	2266	160
570	108	105	20	1572	1158	300	228	2266	161
239	458	51	97	1200	1514	240	300	2267	162
1206	12	241	2	1402	218	278	42	2267	163
843	459	171	90	1291	832	254	160	2272	163
869	307	164	63	1309	728	248	147	2379	124
1	63	0	12	257	417	51	83	2737	175
1073	35	208	7	1433	355	280	72	2754	178
398	1285	83	264	617	1466	127	298	2829	197
988	1200	203	242	1348	1493	272	300	2841	199
1221	882	240	173	1503	1069	295	209	2854	200
448	885	95	170	1267	1518	259	299	3421	240
149	1082	31	209	353	1305	70	249	3838	248
1022	552	203	105	1288	995	257	193	3929	250
252	341	50	67	514	607	102	121	4045	263
271	232	53	48	430	736	85	152	4248	282
