b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
380	753	70	153	766	1236	147	250	3	305
90	683	18	129	432	1020	84	194	15	1802
20	1557	4	266	208	1743	39	300	144	3667
36	822	6	164	547	1505	101	296	238	1857
901	387	165	77	1074	558	201	113	238	1858
105	298	20	59	938	883	182	179	239	1859
1	1274	0	247	253	1536	51	300	267	1591
355	505	71	96	844	1017	168	198	271	228
266	1250	52	229	624	1616	121	299	273	173
115	26	25	5	407	254	84	49	278	600
641	961	126	181	889	1551	174	297	361	2379
1383	1	268	0	1533	140	299	28	361	2443
1273	622	253	123	1511	808	300	160	365	2388
348	648	69	124	1153	1535	230	300	366	2389
535	213	104	38	1089	529	210	99	369	2396
739	354	144	67	864	479	168	91	369	2420
519	13	96	2	1513	884	291	169	371	2397
746	450	141	89	1321	802	253	160	415	3165
1034	1118	187	216	1393	1535	260	300	457	1917
1006	280	196	54	1489	705	299	146	465	2752
1201	920	237	173	1521	1042	297	194	506	2613
147	1020	27	200	464	1371	91	271	536	3414
670	744	128	145	1059	1403	199	266	572	3142
92	339	20	69	255	544	58	116	620	530
949	797	178	160	1240	1096	236	220	670	1166
131	951	26	179	250	1068	52	204	797	323
565	1	111	0	725	182	144	36	805	4121
66	1030	13	210	410	1428	86	297	806	4121
576	437	121	92	1337	1186	278	245	806	4122
122	32	24	6	1569	1425	300	274	807	4123
113	291	20	58	315	536	59	105	950	1535
367	633	79	112	841	1322	179	260	969	1574
1023	645	202	132	1493	1027	299	208	1024	352
1060	1187	214	230	1224	1373	247	269	1027	1982
636	348	121	68	1548	1126	300	227	1033	351
927	556	185	101	1387	1058	277	203	1038	1982
103	536	20	99	574	923	122	179	1053	1975
1013	929	205	171	1275	1170	258	220	1089	669
668	1200	130	236	999	1524	195	300	1123	3810
685	524	143	95	1282	1141	260	219	1126	1352
1038	76	209	15	1492	615	299	122	1129	1411
402	598	83	128	1059	1307	222	280	1133	3859
305	785	58	150	714	1241	143	242	1143	3282
853	143	159	25	1557	625	300	118	1148	3252
545	655	114	135	754	935	158	193	1151	3255
1106	305	227	63	1443	874	296	179	1159	3254
278	1	58	0	983	584	198	118	1184	3603
896	672	175	143	1134	920	223	193	1193	317
135	620	25	128	393	862	79	179	1193	3592
370	734	71	147	630	966	124	194	1209	3789
549	61	111	12	1345	994	276	202	1225	857
782	263	152	49	1310	845	256	168	1259	812
915	545	179	110	1112	745	218	150	1260	1462
644	936	126	165	928	1567	183	299	1265	817
1208	1242	236	236	1553	1573	300	298	1269	3825
11	1	2	0	606	519	126	108	1270	3826
1273	81	253	15	1490	328	300	68	1272	273
738	1308	141	265	905	1474	176	300	1282	2600
905	1	176	0	1189	200	232	40	1282	2601
705	818	142	165	930	1029	184	205	1302	2079
5	1052	1	208	186	1467	39	296	1303	2079
166	28	35	5	758	320	156	68	1303	2080
1137	123	221	22	1469	692	287	123	1307	2081
660	107	127	15	1099	329	218	62	1322	2082
1361	20	271	4	1490	201	299	44	1328	3627
355	521	71	103	999	1235	200	246	1348	2205
358	193	72	34	680	544	140	106	1349	2019
257	226	48	41	1375	1466	282	300	1349	2223
1	100	0	19	1424	1456	294	300	1350	2224
1	27	0	6	1445	1416	300	292	1351	2225
41	1	8	0	1460	1409	300	292	1352	2226
47	1	10	0	1460	1394	300	286	1353	2227
63	1	13	0	1495	1332	300	268	1354	2228
1	1332	0	268	182	1485	38	300	1355	2228
182	1	38	0	428	256	87	51	1355	2229
1	82	0	17	330	427	63	85	1362	1487
375	1	72	0	972	754	200	161	1372	3885
1027	1052	204	208	1329	1400	261	275	1395	4135
320	703	63	140	523	911	104	183	1405	1872
85	350	18	65	550	849	112	168	1415	404
228	248	47	46	646	646	137	133	1466	794
508	794	103	163	1110	1388	230	289	1501	2046
564	156	117	33	1031	588	214	125	1507	3260
361	150	72	30	706	490	139	97	1512	3341
1284	425	257	86	1509	652	300	130	1513	2475
982	38	196	7	1201	286	241	57	1551	1508
57	1114	10	222	305	1423	61	284	1552	191
357	191	74	38	806	551	158	106	1708	3134
111	1114	23	216	568	1473	118	287	1827	2589
644	1	136	0	924	273	196	59	1959	1385
647	585	129	109	1002	991	200	192	1989	1467
809	867	161	175	1387	1396	276	287	1989	1468
1067	1332	214	245	1350	1587	274	298	1993	210
329	454	64	92	500	750	99	155	2027	1377
1	1161	0	224	178	1388	35	268	2069	1327
692	1267	145	238	906	1469	192	281	2308	654
316	485	62	93	734	926	150	187	2323	334
1	1052	0	196	167	1208	30	224	2325	2250
431	933	92	175	1055	1373	213	258	2450	440
739	40	149	8	1082	408	223	88	2656	1412
514	995	104	209	833	1405	171	297	2692	1390
161	207	35	42	550	647	111	130	2692	1390
86	296	17	61	733	1043	153	213	3096	1004
97	749	17	156	276	896	55	187	3118	3832
1085	1216	216	240	1509	1490	299	292	3170	458
844	279	166	54	1043	497	204	96	3203	175
385	676	71	137	727	1018	142	208	3260	2493
191	923	40	182	433	1147	92	230	3338	3841
137	146	32	34	263	262	60	60	4743	3475
958	112	189	24	1088	236	216	50	4972	953
634	335	129	67	855	568	174	114	5113	1808
759	1271	140	239	882	1392	168	266	5209	1425
906	362	171	68	1023	479	194	91	5364	2420
723	1138	138	223	951	1513	180	294	5775	2054
