b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
604	270	117	55	1422	1058	264	202	77	34
543	691	111	145	941	1093	193	230	678	160
679	701	129	145	854	900	164	187	509	173
355	837	68	168	854	1481	164	297	509	174
871	6	167	1	1537	783	300	160	509	175
1	783	0	160	189	1047	39	215	510	175
225	326	47	69	1320	1409	269	296	510	176
1326	518	249	100	1587	842	300	163	537	187
331	26	61	4	1581	1565	300	296	538	188
11	1	2	0	955	997	188	201	539	189
403	804	81	164	757	1098	153	223	514	219
1	799	0	148	508	1485	104	286	474	229
265	1	54	0	432	137	88	27	474	230
31	1	7	0	454	490	96	106	403	232
1	17	0	3	480	664	101	141	651	232
115	468	22	94	660	1085	134	220	673	365
1	441	0	94	876	1446	181	300	406	545
291	494	55	93	921	1168	189	241	408	548
1134	908	217	176	1434	1204	278	236	562	626
45	158	8	30	1658	1589	300	291	381	842
75	1	11	0	1294	1195	239	228	382	843
