b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
33	509	8	98	573	990	119	204	16	1924
28	341	7	70	573	915	119	186	16	4673
720	1	145	0	1140	459	233	96	50	2623
181	191	34	38	601	556	117	110	81	2352
97	34	18	7	470	471	93	92	81	2991
1047	301	207	56	1419	709	286	142	96	3816
283	406	59	85	851	1000	179	207	102	2807
932	868	190	177	1186	1089	242	222	112	596
983	1	201	0	1475	611	300	124	112	1790
924	154	188	32	1411	600	287	123	112	2799
551	1089	110	222	785	1298	155	261	113	596
1	611	0	124	202	816	40	165	113	1790
196	135	39	26	1438	1253	292	250	113	1791
121	1	24	0	1246	1049	250	208	113	2800
1084	95	217	18	1470	428	298	86	113	2801
1	448	0	88	367	827	75	167	114	1792
1	428	0	86	367	781	75	158	114	2801
918	59	176	12	1473	685	290	139	124	3064
1016	364	197	68	1436	706	282	133	124	3743
161	784	31	163	493	1077	104	226	148	4290
908	942	187	184	1055	1122	218	223	153	2305
503	896	112	186	647	1068	143	223	154	2693
132	476	25	89	315	639	62	122	177	2205
966	228	201	45	1392	618	291	128	187	2893
1250	1332	247	256	1489	1558	295	300	192	2440
1347	483	268	98	1479	613	293	124	192	2441
1250	776	247	149	1514	1049	300	204	192	2899
1282	1100	254	218	1514	1310	300	259	192	4466
1	21	0	4	174	250	37	51	193	2441
1	1049	0	204	114	1151	24	225	193	2899
381	574	77	107	715	1032	149	205	195	2896
978	1182	197	239	1285	1488	259	300	208	2938
766	924	156	186	1051	1300	212	261	209	2852
330	843	66	165	568	1060	115	210	210	2287
460	1	93	0	872	402	176	78	210	4785
728	948	144	185	1021	1247	206	248	228	700
415	574	90	110	957	1111	202	217	240	3013
668	112	139	21	1266	661	259	130	242	2313
678	218	141	42	1045	554	216	112	242	3060
1267	251	256	52	1467	450	300	95	246	1395
1213	516	246	105	1467	731	300	151	246	3066
1207	816	245	165	1467	1061	300	218	246	3226
1134	537	234	110	1334	770	276	159	506	1418
1174	772	243	158	1334	969	276	199	506	1609
